review_key,question_id,decision_evaluation_scope,question,expected_answer_points,selected_by_variants,control_e1_selected,candidate_e2_selected,supporting_chunk_id,supporting_rank,supporting_chunk_text,citation_url,e1_reason,e2_reason,verdict_source,human_entailment_verdict,human_notes,human_review_status,source_workbook_sha256,source_review_export_sha256
mit60001-q-001|nykOeWgQcHM:semantic_cosine_wp240_v1:3,mit60001-q-001,evaluated_37,"According to the course introduction, what learning goals are introduced for students?","- Gain conceptual knowledge and programming skills.
- Learn to solve problems through problem sets and sustained programming practice.
- Read problem sets early so course terminology becomes familiar.
- Develop recursive problem solving by reducing a hard problem to simpler versions of the same problem.",candidate_v2_e2,False,True,nykOeWgQcHM:semantic_cosine_wp240_v1:3,2,"for future reference.
It's true.
This is a really
fast-paced course,
and we ramp up really quickly.
We do want to position you
to succeed in this course.
As I was writing
this, I was trying
to think about when
I was first starting
to program what helped
me get through my very
first programming course.
And this is really a good list.
The first thing was I just
read the psets as soon
as they came out, made sure that
the terminology just sunk in.
And then, during
lectures, if the lecturer
was talking about something
that suddenly I remembered,
oh, I saw that word in the pset
and I didn't know what it was.
Well, hey, now I
know what it is.",https://www.youtube.com/watch?v=nykOeWgQcHM&t=127s,,The whole question is covered.,prompt_v2_m3_human_review,supports,Directly supports reading problem sets early so course terminology becomes familiar.,reviewed,d5a6b023b93ae9a29f651de40a5418f11f856453026d7d7caa64fc69b4b00f1f,9b2778ecc76f48b43870fc0cb8b2d4c0e32e7d46e9168e42ae8dafb49820eca3
mit60001-q-001|nykOeWgQcHM:semantic_cosine_wp240_v1:6,mit60001-q-001,evaluated_37,"According to the course introduction, what learning goals are introduced for students?","- Gain conceptual knowledge and programming skills.
- Learn to solve problems through problem sets and sustained programming practice.
- Read problem sets early so course terminology becomes familiar.
- Develop recursive problem solving by reducing a hard problem to simpler versions of the same problem.",candidate_v2_e2,False,True,nykOeWgQcHM:semantic_cosine_wp240_v1:6,1,"looks like.
And underlying all of
these is just practice.
You have to just type some
stuff away and code a lot.
And you'll succeed in
this course, I think.
OK.
So what are the things we're
going to learn in this class?
I feel like the things we're
going learn in this class
can be divided into basically
three different sections.
The first one is related to
these first two items here.
It's really about
learning how to program.
Learning how to
program, part of it
is figuring out what
objects to create.
You'll learn about these later.
How do you represent knowledge
with data structures?
That's sort of the
broad term for that.
And then, as you're
writing programs,",https://www.youtube.com/watch?v=nykOeWgQcHM&t=261s,,The whole question is covered.,prompt_v2_m3_human_review,supports,Directly supports sustained hands-on programming practice and learning how to program.,reviewed,d5a6b023b93ae9a29f651de40a5418f11f856453026d7d7caa64fc69b4b00f1f,9b2778ecc76f48b43870fc0cb8b2d4c0e32e7d46e9168e42ae8dafb49820eca3
mit60001-q-001|nykOeWgQcHM:semantic_cosine_wp240_v1:7,mit60001-q-001,evaluated_37,"According to the course introduction, what learning goals are introduced for students?","- Gain conceptual knowledge and programming skills.
- Learn to solve problems through problem sets and sustained programming practice.
- Read problem sets early so course terminology becomes familiar.
- Develop recursive problem solving by reducing a hard problem to simpler versions of the same problem.",candidate_v2_e2,False,True,nykOeWgQcHM:semantic_cosine_wp240_v1:7,3,"you need to-- programs
aren't just linear.
Sometimes programs jump around.
They make decisions.
There's some control
flow to programs.
That's what the second
line is going to be about.
The second big
part of this course
is a little bit more
abstract, and it
deals with how do you write
good code, good style,
code that's readable.
When you write code, you
want to write it such
that-- you're in big company,
other people will read it,
other people will
use it, so it has
to be readable and
understandable by others.
To that end, you
need to write code
that's well organized,
modular, easy to understand.
And not only that, not
only will your code",https://www.youtube.com/watch?v=nykOeWgQcHM&t=306s,,The whole question is covered.,prompt_v2_m3_human_review,supports,"Supports the programming-skills/concepts part of the learning goals via control flow and readable, modular code.",reviewed,d5a6b023b93ae9a29f651de40a5418f11f856453026d7d7caa64fc69b4b00f1f,9b2778ecc76f48b43870fc0cb8b2d4c0e32e7d46e9168e42ae8dafb49820eca3
mit60001-q-002|nykOeWgQcHM:semantic_cosine_wp240_v1:5,mit60001-q-002,evaluated_37,What does the course say students should do to practice programming effectively?,"- Read problem sets early to become familiar with terminology.
- Practice programming directly rather than only watching someone else code.
- Download the code before lecture.",candidate_v2_e2,False,True,nykOeWgQcHM:semantic_cosine_wp240_v1:5,3,"Yeah.
That's probably the
big thing right there.
I should have probably
highlighted it,
but don't be afraid.
Great.
So this is pretty much a
roadmap of all of 6.0001 or 600
as I've just explained it.
There's three big things we
want to get out of this course.
The first thing is the
knowledge of concepts,
which is pretty much true of
any class that you'll take.
The class will teach you
something through lectures.
Exams will test
how much you know.
This is a class in programming.
The other thing we want
you to get out of it
is programming skills.
And the last thing,
and I think this
is what makes this
class really great,
is we teach you how
to solve problems.
And we do that
through the psets.
That's really how I feel
the roadmap of this course",https://www.youtube.com/watch?v=nykOeWgQcHM&t=215s,,The evidence supports the requested answer and covers the entire question.,prompt_v2_m3_human_review,does_not_support,"Describes course goals and problem solving through psets, but not the specific practice advice in the expected answer: read psets early, program directly, and download code.",reviewed,d5a6b023b93ae9a29f651de40a5418f11f856453026d7d7caa64fc69b4b00f1f,9b2778ecc76f48b43870fc0cb8b2d4c0e32e7d46e9168e42ae8dafb49820eca3
mit60001-q-002|nykOeWgQcHM:semantic_cosine_wp240_v1:6,mit60001-q-002,evaluated_37,What does the course say students should do to practice programming effectively?,"- Read problem sets early to become familiar with terminology.
- Practice programming directly rather than only watching someone else code.
- Download the code before lecture.",candidate_v2_e2,False,True,nykOeWgQcHM:semantic_cosine_wp240_v1:6,2,"looks like.
And underlying all of
these is just practice.
You have to just type some
stuff away and code a lot.
And you'll succeed in
this course, I think.
OK.
So what are the things we're
going to learn in this class?
I feel like the things we're
going learn in this class
can be divided into basically
three different sections.
The first one is related to
these first two items here.
It's really about
learning how to program.
Learning how to
program, part of it
is figuring out what
objects to create.
You'll learn about these later.
How do you represent knowledge
with data structures?
That's sort of the
broad term for that.
And then, as you're
writing programs,",https://www.youtube.com/watch?v=nykOeWgQcHM&t=261s,,The evidence supports the requested answer and covers the entire question.,prompt_v2_m3_human_review,supports,Directly says effective practice requires typing and coding a lot.,reviewed,d5a6b023b93ae9a29f651de40a5418f11f856453026d7d7caa64fc69b4b00f1f,9b2778ecc76f48b43870fc0cb8b2d4c0e32e7d46e9168e42ae8dafb49820eca3
mit60001-q-002|nykOeWgQcHM:semantic_cosine_wp240_v1:7,mit60001-q-002,evaluated_37,What does the course say students should do to practice programming effectively?,"- Read problem sets early to become familiar with terminology.
- Practice programming directly rather than only watching someone else code.
- Download the code before lecture.","candidate_v2_e2
current_control_e1",True,True,nykOeWgQcHM:semantic_cosine_wp240_v1:7,1,"you need to-- programs
aren't just linear.
Sometimes programs jump around.
They make decisions.
There's some control
flow to programs.
That's what the second
line is going to be about.
The second big
part of this course
is a little bit more
abstract, and it
deals with how do you write
good code, good style,
code that's readable.
When you write code, you
want to write it such
that-- you're in big company,
other people will read it,
other people will
use it, so it has
to be readable and
understandable by others.
To that end, you
need to write code
that's well organized,
modular, easy to understand.
And not only that, not
only will your code",https://www.youtube.com/watch?v=nykOeWgQcHM&t=306s,"The candidate excerpt directly supports the answer 'To practice programming effectively, you need to write code that's well organized, modular, easy to understand, and readable by others.' with chunk_id 'nykOeWgQcHM:semantic_cosine_wp240_v1:7'.",The evidence supports the requested answer and covers the entire question.,baseline_m3_canonical,does_not_support,"Discusses readable/modular code and program control flow, not the expected practice advice (read problem sets early, program directly, download code).",canonical_reuse,,
mit60001-q-003|MjbuarJ7SE0:semantic_cosine_wp240_v1:21,mit60001-q-003,evaluated_37,How does Python use variable names in different scopes?,"- The same variable name can exist in the global scope and in a different scope.
- Python uses the variable names of the current scope, so same-named variables in different scopes do not interfere with one another.","candidate_v2_e2
current_control_e1",True,True,MjbuarJ7SE0:semantic_cosine_wp240_v1:21,2,"And this line here return
something tells Python, OK
after you have finished
executing everything
inside the function, what
value should I return?
And whoever called
the function is
going to get back that
value, and the function
call itself will be
replaced by that value.
OK so let's look at an example.
I'm going to introduce
the idea of scope now.
And scope just means-- is
another word for environment.
So if I told you that you
could think of functions
as little mini-programs,
the scope of a function
is going to be a completely
separate environment
than the environment
of the main program.
So as soon as you
make a function call,
behind the scenes
what Python says is,
OK I'm in the main program
but I see a function call.
I'm going to step out
of this main program.
I'm going to go off into
this new environment.",https://www.youtube.com/watch?v=MjbuarJ7SE0&t=913s,"The candidate excerpt directly supports the answer that Python uses variable names in different scopes, and the scope of a function is a completely separate environment than the environment of the main program.",The evidence supports the requested answer and covers the entire question.,baseline_m3_canonical,supports,"Explains that a function scope is a separate environment from the main program, supporting separation of same-named variables across scopes.",canonical_reuse,,
mit60001-q-003|MjbuarJ7SE0:semantic_cosine_wp240_v1:42,mit60001-q-003,evaluated_37,How does Python use variable names in different scopes?,"- The same variable name can exist in the global scope and in a different scope.
- Python uses the variable names of the current scope, so same-named variables in different scopes do not interfere with one another.","candidate_v2_e2
current_control_e1",True,True,MjbuarJ7SE0:semantic_cosine_wp240_v1:42,3,"Python's going to use
those variable names,
so they don't interfere
with each other at all.
So in this example, I've defined
a variable x is equal to 1,
and then I incremented, and that
doesn't interfere with the fact
that we have a
variable x outside.
This one's a little
bit trickier.
I define this function
g, and all g does
is access a variable x.
But notice inside g, I've
never actually declared
or initialized a variable x.
In this f, I said
x is equal to 1.
But in here, I'm
just sort of using x.
So this does not
give you an error.",https://www.youtube.com/watch?v=MjbuarJ7SE0&t=1885s,"The candidate excerpt directly supports the answer that Python uses variable names in different scopes, and the scope of a function is a completely separate environment than the environment of the main program.",The evidence supports the requested answer and covers the entire question.,baseline_m3_canonical,supports,Directly states that same-named variables in different scopes do not interfere with each other.,canonical_reuse,,
mit60001-q-004|0jljZRnHwOI:semantic_cosine_wp240_v1:31,mit60001-q-004,evaluated_37,What is the difference between assignment (=) and equality (==) in Python?,"- The single equals sign assigns a value to a variable.
- The double equals sign tests whether two values are equal and produces a Boolean result.",candidate_v2_e2,False,True,0jljZRnHwOI:semantic_cosine_wp240_v1:31,2,"So notice that we denoted
code blocks using indentation.
And that's actually
one of the things
that I really like about Python.
It sort of forces you to
write pretty code and nice
looking code and just
code that's very readable.
And that forces you to indent
everything that's a code block.
So you can easily see sort of
where the flow of control is
and where decision making
points are and things like that.
So in this particular example,
we have one if statement here,
and it checks if two
variables are equal.
And we have an if, elif, else.
And in this example, we're
going to enter either this code
block or this one or
this one, depending
on the variables of x and y.
And we're only going
into one code block.
And we'll enter the
first one that's true.",https://www.youtube.com/watch?v=0jljZRnHwOI&t=1455s,,The evidence supports both sides of the question and the requested contrast.,prompt_v2_m3_human_review,does_not_support,"Says an if statement checks whether variables are equal, but the transcript does not identify the == operator or contrast it with = assignment.",reviewed,d5a6b023b93ae9a29f651de40a5418f11f856453026d7d7caa64fc69b4b00f1f,9b2778ecc76f48b43870fc0cb8b2d4c0e32e7d46e9168e42ae8dafb49820eca3
mit60001-q-004|0jljZRnHwOI:semantic_cosine_wp240_v1:32,mit60001-q-004,evaluated_37,What is the difference between assignment (=) and equality (==) in Python?,"- The single equals sign assigns a value to a variable.
- The double equals sign tests whether two values are equal and produces a Boolean result.",candidate_v2_e2,False,True,0jljZRnHwOI:semantic_cosine_wp240_v1:32,3,"Notice you can have
nested conditionals.
So inside this first if,
we have another if here.
And this inner if is only going
to be checked when we enter
the first-- this outter if.
I do want to make
one point, though.
So sometimes, you might forget
to do the double equals sign
when you are checking for
equality, and that's OK.
If you just use one
equals sign, Python's
going to give you an error.
And it's going to
say syntax error,
and it's going to
highlight this line.
And then you're going to know
that there's a mistake there.
And you should be
using equality,
because it doesn't
make sense to be
using-- to assign-- to be making
an assignment inside the if.
So we've learned
about branching.
And we know about conditionals.
Let's try to apply
this to a little game.",https://www.youtube.com/watch?v=0jljZRnHwOI&t=1513s,,The evidence supports both sides of the question and the requested contrast.,prompt_v2_m3_human_review,supports,Explicitly contrasts double-equals for equality checking with single-equals assignment.,reviewed,d5a6b023b93ae9a29f651de40a5418f11f856453026d7d7caa64fc69b4b00f1f,9b2778ecc76f48b43870fc0cb8b2d4c0e32e7d46e9168e42ae8dafb49820eca3
