scope_version,playlist_position,video_id,title,language_code,language,is_generated,fetched_at,fetched_at_parseable,segment_count,empty_segment_count,leading_or_trailing_whitespace_segments,multiline_segment_count,contains_cr_segment_count,contains_tab_segment_count,contains_nbsp_segment_count,contains_zero_width_segment_count,contains_replacement_character_segment_count,non_nfc_segment_count,multiple_ascii_space_segment_count,line_with_edge_whitespace_segment_count,bracket_only_cue_segment_count,parenthetical_only_cue_segment_count,html_tag_segment_count,html_entity_segment_count,exact_adjacent_duplicate_count,normalized_adjacent_duplicate_count,adjacent_text_containment_count,invalid_start_count,nonpositive_duration_count,out_of_order_segment_count,overlapping_segment_count,transcript_length,maximum_end_second,python_code_signal_count,validation_status
mit_60001_fall_2016_v1,0,nykOeWgQcHM,1. What is Computation?,en,English - CC (English),False,2026-07-23T13:51:20.056333+00:00,True,887,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,106,34898,2577.16,117,passed
mit_60001_fall_2016_v1,1,Y6J8I056Ffw,Shell vs. Editor,en,English - CC,False,2026-07-23T13:52:05.737019+00:00,True,28,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1145,79.05,10,passed
mit_60001_fall_2016_v1,2,F-_PKUUM-qY,Python vs. Math,en,English - CC,False,2026-07-23T13:53:06.999237+00:00,True,27,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1141,94.98,3,passed
mit_60001_fall_2016_v1,3,EFCdr_43qmU,Bindings,en,English - CC,False,2026-07-23T13:56:58.752055+00:00,True,30,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1181,99.62,12,passed
mit_60001_fall_2016_v1,4,0jljZRnHwOI,2. Branching and Iteration,en,English - CC,False,2026-07-23T13:57:34.508426+00:00,True,847,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,33709,2602.42,195,passed
mit_60001_fall_2016_v1,5,w4uxYDPsjbw,Strings,en,English - CC,False,2026-07-23T13:58:29.382815+00:00,True,17,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,653,52.278,1,passed
mit_60001_fall_2016_v1,6,lniF6ys2CIk,Comparisons,en,English - CC,False,2026-07-23T13:59:30.365544+00:00,True,25,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,961,81.813,4,passed
mit_60001_fall_2016_v1,7,jjbWNcIjmzc,Branching,en,English - CC,False,2026-07-23T14:00:20.079458+00:00,True,21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,835,65.01,5,passed
mit_60001_fall_2016_v1,8,P-0w8xWcnDQ,While Loops,en,English - CC,False,2026-07-23T14:01:12.236138+00:00,True,36,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1423,110.84,12,passed
mit_60001_fall_2016_v1,9,mrvBnZIEsZY,For Loops,en,English - CC,False,2026-07-23T14:01:37.341048+00:00,True,37,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1383,114.41,9,passed
