retrieval_run_id,chunking_config_id,question_id,question,category,ground_truth_range_count,ground_truth_video_ids_json,corpus_chunk_count,first_relevant_rank,reciprocal_rank,chunks_to_full_coverage,recall_at_1,evidence_ranges_covered_at_1,evidence_range_recall_at_1,full_evidence_coverage_at_1,recall_at_3,evidence_ranges_covered_at_3,evidence_range_recall_at_3,full_evidence_coverage_at_3,recall_at_5,evidence_ranges_covered_at_5,evidence_range_recall_at_5,full_evidence_coverage_at_5,recall_at_10,evidence_ranges_covered_at_10,evidence_range_recall_at_10,full_evidence_coverage_at_10,top_10_chunk_ids_json,top_10_scores_json,top_10_video_ids_json,top_10_start_seconds_json,top_10_end_seconds_json,top_10_relevant_flags_json,top_10_covered_range_indices_json,manual_judgment
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-001,"According to the course introduction, what learning goals are introduced for students?",factual,4,"[""nykOeWgQcHM"",""6LOwPhPDwVc""]",548,1,1.0,14,1,1,0.25,0,1,3,0.75,0,1,3,0.75,0,1,3,0.75,0,"[""nykOeWgQcHM:fixed_wp240_o48_v1:4"",""nykOeWgQcHM:fixed_wp240_o48_v1:3"",""nykOeWgQcHM:fixed_wp240_o48_v1:2"",""nykOeWgQcHM:fixed_wp240_o48_v1:1"",""FlGjISF3l78:fixed_wp240_o48_v1:1"",""o9nW0uBqvEo:fixed_wp240_o48_v1:0"",""6LOwPhPDwVc:fixed_wp240_o48_v1:44"",""0jljZRnHwOI:fixed_wp240_o48_v1:0"",""nykOeWgQcHM:fixed_wp240_o48_v1:7"",""nykOeWgQcHM:fixed_wp240_o48_v1:8""]","[0.45593339,0.42235678,0.40396497,0.37322894,0.36881828,0.34383988,0.33272964,0.31739536,0.31700417,0.31189245]","[""nykOeWgQcHM"",""nykOeWgQcHM"",""nykOeWgQcHM"",""nykOeWgQcHM"",""FlGjISF3l78"",""o9nW0uBqvEo"",""6LOwPhPDwVc"",""0jljZRnHwOI"",""nykOeWgQcHM"",""nykOeWgQcHM""]","[258.73,194.436,134.11,73.03,83.06,0.79,2683.145,0.79,465.61,543.28]","[329.0,258.73,194.436,134.11,157.8,68.53,2745.654,82.0,543.28,617.74]","[true,true,true,true,false,false,false,false,false,false]","[[3],[2,3],[1],[1],[],[],[],[],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-002,What does the course say students should do to practice programming effectively?,factual,2,"[""nykOeWgQcHM""]",548,3,0.333333333,3,0,0,0.0,0,1,2,1.0,1,1,2,1.0,1,1,2,1.0,1,"[""nykOeWgQcHM:fixed_wp240_o48_v1:4"",""nykOeWgQcHM:fixed_wp240_o48_v1:3"",""nykOeWgQcHM:fixed_wp240_o48_v1:2"",""nykOeWgQcHM:fixed_wp240_o48_v1:5"",""nykOeWgQcHM:fixed_wp240_o48_v1:1"",""9H6muyZjms0:fixed_wp240_o48_v1:4"",""0jljZRnHwOI:fixed_wp240_o48_v1:0"",""Y6J8I056Ffw:fixed_wp240_o48_v1:0"",""nykOeWgQcHM:fixed_wp240_o48_v1:7"",""9H6muyZjms0:fixed_wp240_o48_v1:14""]","[0.58169127,0.54747641,0.54231697,0.50465077,0.46362263,0.41260725,0.40225953,0.39543781,0.3781451,0.37591141]","[""nykOeWgQcHM"",""nykOeWgQcHM"",""nykOeWgQcHM"",""nykOeWgQcHM"",""nykOeWgQcHM"",""9H6muyZjms0"",""0jljZRnHwOI"",""Y6J8I056Ffw"",""nykOeWgQcHM"",""9H6muyZjms0""]","[258.73,194.436,134.11,329.0,73.03,248.15,0.79,0.79,465.61,943.53]","[329.0,258.73,194.436,391.97,134.11,319.93,82.0,61.948,543.28,1012.27]","[false,false,true,false,true,false,false,false,false,false]","[[],[],[1,2],[],[1],[],[],[],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-003,How does Python use variable names in different scopes?,concept_explanation,1,"[""MjbuarJ7SE0""]",548,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,"[""MjbuarJ7SE0:fixed_wp240_o48_v1:26"",""MjbuarJ7SE0:fixed_wp240_o48_v1:16"",""MjbuarJ7SE0:fixed_wp240_o48_v1:13"",""MjbuarJ7SE0:fixed_wp240_o48_v1:29"",""MjbuarJ7SE0:fixed_wp240_o48_v1:27"",""MjbuarJ7SE0:fixed_wp240_o48_v1:22"",""MjbuarJ7SE0:fixed_wp240_o48_v1:23"",""0jljZRnHwOI:fixed_wp240_o48_v1:2"",""FlGjISF3l78:fixed_wp240_o48_v1:16"",""FlGjISF3l78:fixed_wp240_o48_v1:9""]","[0.7285189,0.65381396,0.64128381,0.63767177,0.63483679,0.60114789,0.58870131,0.57983303,0.57616335,0.57019645]","[""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""0jljZRnHwOI"",""FlGjISF3l78"",""FlGjISF3l78""]","[1812.21,1113.49,892.91,2030.96,1887.04,1529.73,1606.83,149.86,1169.29,671.34]","[1887.04,1185.34,976.88,2105.297,1955.58,1610.01,1675.64,212.92,1233.325,743.88]","[true,false,false,false,true,false,false,false,false,false]","[[1],[],[],[],[1],[],[],[],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-004,What is the difference between assignment (=) and equality (==) in Python?,concept_explanation,1,"[""0jljZRnHwOI""]",548,2,0.5,2,0,0,0.0,0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,"[""0jljZRnHwOI:fixed_wp240_o48_v1:20"",""0jljZRnHwOI:fixed_wp240_o48_v1:11"",""RvRKT-jXvko:fixed_wp240_o48_v1:14"",""nykOeWgQcHM:fixed_wp240_o48_v1:30"",""nykOeWgQcHM:fixed_wp240_o48_v1:32"",""MjbuarJ7SE0:fixed_wp240_o48_v1:27"",""RvRKT-jXvko:fixed_wp240_o48_v1:30"",""0jljZRnHwOI:fixed_wp240_o48_v1:2"",""-DP1i2ZU9gk:fixed_wp240_o48_v1:26"",""RvRKT-jXvko:fixed_wp240_o48_v1:29""]","[0.60204029,0.60196114,0.59151459,0.57313669,0.55928195,0.51745129,0.51553893,0.51426256,0.50549501,0.5009706]","[""0jljZRnHwOI"",""0jljZRnHwOI"",""RvRKT-jXvko"",""nykOeWgQcHM"",""nykOeWgQcHM"",""MjbuarJ7SE0"",""RvRKT-jXvko"",""0jljZRnHwOI"",""-DP1i2ZU9gk"",""RvRKT-jXvko""]","[1476.11,836.83,1009.75,2209.18,2352.659,1887.04,2109.64,149.86,1946.11,2035.41]","[1555.78,899.97,1070.846,2279.39,2419.03,1955.58,2190.3,212.92,2015.18,2109.64]","[false,true,false,false,false,false,false,false,false,false]","[[],[1],[],[],[],[],[],[],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-005,"According to the course, why does a recursive function require a base case?",concept_explanation,1,"[""WPSeyjX1-4s""]",548,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,"[""WPSeyjX1-4s:fixed_wp240_o48_v1:4"",""WPSeyjX1-4s:fixed_wp240_o48_v1:24"",""WPSeyjX1-4s:fixed_wp240_o48_v1:3"",""WPSeyjX1-4s:fixed_wp240_o48_v1:8"",""WPSeyjX1-4s:fixed_wp240_o48_v1:19"",""WPSeyjX1-4s:fixed_wp240_o48_v1:13"",""WPSeyjX1-4s:fixed_wp240_o48_v1:15"",""6LOwPhPDwVc:fixed_wp240_o48_v1:47"",""WPSeyjX1-4s:fixed_wp240_o48_v1:1"",""WPSeyjX1-4s:fixed_wp240_o48_v1:27""]","[0.56863326,0.52299166,0.51191723,0.50908363,0.48141241,0.47478238,0.4637078,0.44696072,0.44343597,0.43759578]","[""WPSeyjX1-4s"",""WPSeyjX1-4s"",""WPSeyjX1-4s"",""WPSeyjX1-4s"",""WPSeyjX1-4s"",""WPSeyjX1-4s"",""WPSeyjX1-4s"",""6LOwPhPDwVc"",""WPSeyjX1-4s"",""WPSeyjX1-4s""]","[257.149,1431.85,199.35,504.18,1151.65,807.35,931.07,2860.23,80.41,1612.81]","[318.57,1485.34,257.149,570.72,1215.95,872.959,990.0,2903.75,141.09,1681.465]","[true,false,false,false,false,false,false,false,false,false]","[[1],[],[],[],[],[],[],[],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-006,"According to the lecture, how is the efficiency of an algorithm explained?",concept_explanation,1,"[""o9nW0uBqvEo""]",548,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,"[""o9nW0uBqvEo:fixed_wp240_o48_v1:8"",""7lQXYl_L28w:fixed_wp240_o48_v1:48"",""7lQXYl_L28w:fixed_wp240_o48_v1:2"",""7lQXYl_L28w:fixed_wp240_o48_v1:8"",""o9nW0uBqvEo:fixed_wp240_o48_v1:12"",""6LOwPhPDwVc:fixed_wp240_o48_v1:0"",""7lQXYl_L28w:fixed_wp240_o48_v1:1"",""o9nW0uBqvEo:fixed_wp240_o48_v1:7"",""o9nW0uBqvEo:fixed_wp240_o48_v1:9"",""7lQXYl_L28w:fixed_wp240_o48_v1:21""]","[0.57591367,0.56252396,0.55601871,0.5262143,0.51989216,0.51478326,0.51437771,0.51351523,0.51256657,0.51006424]","[""o9nW0uBqvEo"",""7lQXYl_L28w"",""7lQXYl_L28w"",""7lQXYl_L28w"",""o9nW0uBqvEo"",""6LOwPhPDwVc"",""7lQXYl_L28w"",""o9nW0uBqvEo"",""o9nW0uBqvEo"",""7lQXYl_L28w""]","[501.93,2772.39,128.58,475.86,753.63,0.79,71.62,442.39,565.16,1176.48]","[565.16,2837.01,193.44,530.14,820.91,80.55,130.71,501.93,631.02,1244.81]","[true,false,false,false,false,false,false,false,true,false]","[[1],[],[],[],[],[],[],[],[1],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-007,What value is bound to a name after an assignment statement is evaluated?,code_behavior,1,"[""nykOeWgQcHM""]",548,2,0.5,2,0,0,0.0,0,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,"[""MjbuarJ7SE0:fixed_wp240_o48_v1:27"",""nykOeWgQcHM:fixed_wp240_o48_v1:29"",""nykOeWgQcHM:fixed_wp240_o48_v1:33"",""FlGjISF3l78:fixed_wp240_o48_v1:25"",""0jljZRnHwOI:fixed_wp240_o48_v1:2"",""nykOeWgQcHM:fixed_wp240_o48_v1:31"",""nykOeWgQcHM:fixed_wp240_o48_v1:30"",""RvRKT-jXvko:fixed_wp240_o48_v1:14"",""nykOeWgQcHM:fixed_wp240_o48_v1:28"",""0jljZRnHwOI:fixed_wp240_o48_v1:8""]","[0.44943997,0.44238111,0.44115981,0.43723422,0.43039897,0.42433974,0.42356056,0.41544896,0.41436651,0.41430575]","[""MjbuarJ7SE0"",""nykOeWgQcHM"",""nykOeWgQcHM"",""FlGjISF3l78"",""0jljZRnHwOI"",""nykOeWgQcHM"",""nykOeWgQcHM"",""RvRKT-jXvko"",""nykOeWgQcHM"",""0jljZRnHwOI""]","[1887.04,2109.76,2419.03,1748.91,149.86,2279.39,2209.18,1009.75,2041.794,611.49]","[1955.58,2211.52,2498.07,1801.721,212.92,2352.659,2279.39,1070.846,2105.94,684.718]","[false,true,false,false,false,false,true,false,false,false]","[[],[1],[],[],[],[],[1],[],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-008,Why can rebinding a variable name leave the previous object unchanged?,code_behavior,2,"[""nykOeWgQcHM"",""SE4P7IVCunE""]",548,12,0.083333333,79,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,"[""FlGjISF3l78:fixed_wp240_o48_v1:34"",""MjbuarJ7SE0:fixed_wp240_o48_v1:33"",""FlGjISF3l78:fixed_wp240_o48_v1:33"",""RvRKT-jXvko:fixed_wp240_o48_v1:29"",""FlGjISF3l78:fixed_wp240_o48_v1:32"",""FlGjISF3l78:fixed_wp240_o48_v1:35"",""0jljZRnHwOI:fixed_wp240_o48_v1:2"",""MjbuarJ7SE0:fixed_wp240_o48_v1:27"",""0jljZRnHwOI:fixed_wp240_o48_v1:8"",""FlGjISF3l78:fixed_wp240_o48_v1:16""]","[0.48099077,0.46203911,0.44390833,0.41549236,0.41307032,0.4044992,0.3994377,0.38950872,0.38455713,0.37931961]","[""FlGjISF3l78"",""MjbuarJ7SE0"",""FlGjISF3l78"",""RvRKT-jXvko"",""FlGjISF3l78"",""FlGjISF3l78"",""0jljZRnHwOI"",""MjbuarJ7SE0"",""0jljZRnHwOI"",""FlGjISF3l78""]","[2325.07,2322.35,2261.0,2035.41,2187.89,2402.23,149.86,1887.04,611.49,1169.29]","[2402.23,2396.83,2326.45,2109.64,2261.0,2477.47,212.92,1955.58,684.718,1233.325]","[false,false,false,false,false,false,false,false,false,false]","[[],[],[],[],[],[],[],[],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-009,"According to the course, how are local variables created and used during a function call?",code_behavior,1,"[""MjbuarJ7SE0""]",548,8,0.125,8,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,1,1.0,1,"[""MjbuarJ7SE0:fixed_wp240_o48_v1:14"",""MjbuarJ7SE0:fixed_wp240_o48_v1:29"",""MjbuarJ7SE0:fixed_wp240_o48_v1:15"",""MjbuarJ7SE0:fixed_wp240_o48_v1:17"",""MjbuarJ7SE0:fixed_wp240_o48_v1:16"",""MjbuarJ7SE0:fixed_wp240_o48_v1:31"",""MjbuarJ7SE0:fixed_wp240_o48_v1:23"",""MjbuarJ7SE0:fixed_wp240_o48_v1:26"",""MjbuarJ7SE0:fixed_wp240_o48_v1:12"",""QaOHeMnpnmU:fixed_wp240_o48_v1:0""]","[0.57100272,0.55997175,0.55346096,0.53542733,0.53189975,0.53014982,0.51628065,0.51490295,0.50821483,0.50184625]","[""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""MjbuarJ7SE0"",""QaOHeMnpnmU""]","[976.88,2030.96,1045.92,1185.34,1113.49,2171.79,1606.83,1812.21,824.17,0.79]","[1045.92,2105.297,1113.49,1253.9,1185.34,2245.29,1675.64,1887.04,896.37,95.7]","[false,false,false,false,false,false,false,true,false,false]","[[],[],[],[],[],[],[],[1],[],[]]",
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,mit60001-q-010,What is the difference between mutable and immutable objects?,confusable,1,"[""RvRKT-jXvko""]",548,10,0.1,10,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,1,1.0,1,"[""RvRKT-jXvko:fixed_wp240_o48_v1:26"",""RvRKT-jXvko:fixed_wp240_o48_v1:29"",""RvRKT-jXvko:fixed_wp240_o48_v1:14"",""RvRKT-jXvko:fixed_wp240_o48_v1:1"",""WPSeyjX1-4s:fixed_wp240_o48_v1:39"",""WPSeyjX1-4s:fixed_wp240_o48_v1:1"",""nykOeWgQcHM:fixed_wp240_o48_v1:24"",""-DP1i2ZU9gk:fixed_wp240_o48_v1:1"",""RvRKT-jXvko:fixed_wp240_o48_v1:22"",""RvRKT-jXvko:fixed_wp240_o48_v1:12""]","[0.51975214,0.42603382,0.42570668,0.40586108,0.38361967,0.37294891,0.37187409,0.36244163,0.35384518,0.34472942]","[""RvRKT-jXvko"",""RvRKT-jXvko"",""RvRKT-jXvko"",""RvRKT-jXvko"",""WPSeyjX1-4s"",""WPSeyjX1-4s"",""nykOeWgQcHM"",""-DP1i2ZU9gk"",""RvRKT-jXvko"",""RvRKT-jXvko""]","[1817.88,2035.41,1009.75,77.12,2335.91,80.41,1755.13,91.0,1549.47,863.08]","[1896.05,2109.64,1070.846,147.69,2394.254,141.09,1826.05,159.23,1616.37,943.66]","[false,false,false,false,false,false,false,false,false,true]","[[],[],[],[],[],[],[],[],[],[1]]",
