question_id,evaluation_status,exclusion_reason,expected_decision,predicted_decision,decision_correct,classification,final_supporting_chunk_count,decision_reason
mit60001-q-001,evaluated,,reject,reject,True,TN,0,Unsupported essential requirements: r1
mit60001-q-002,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2, r3"
mit60001-q-003,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-004,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-005,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-006,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-007,evaluated,,reject,reject,True,TN,0,Unsupported essential requirements: r1
mit60001-q-008,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-009,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-010,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-012,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2, r3, r4"
mit60001-q-013,evaluated,,reject,reject,True,TN,0,Unsupported essential requirements: r1
mit60001-q-014,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-015,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-016,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-017,excluded,needs_discussion,,reject,,excluded,0,Unsupported essential requirements: r1
mit60001-q-018,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2, r3"
mit60001-q-019,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-020,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r4"
mit60001-q-021,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-022,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-023,excluded,benchmark_gt_issue,,reject,,excluded,0,"Unsupported essential requirements: r1, r2, r3"
mit60001-q-025,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2, r3"
mit60001-q-026,evaluated,,reject,reject,True,TN,0,Unsupported essential requirements: r2
mit60001-q-027,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2, r3"
mit60001-q-029,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2, r4"
mit60001-q-030,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-031,evaluated,,accept,reject,False,FN,0,Unsupported essential requirements: r1
mit60001-q-032,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-033,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-034,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r3, r4"
mit60001-q-035,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-037,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-038,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-039,evaluated,,accept,reject,False,FN,0,"Unsupported essential requirements: r1, r2"
mit60001-q-040,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r3"
mit60001-q-041,excluded,benchmark_gt_issue,,reject,,excluded,0,"Unsupported essential requirements: r1, r2, r3"
mit60001-q-042,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2, r3"
mit60001-q-043,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2, r3, r4, r5"
mit60001-q-044,evaluated,,reject,reject,True,TN,0,"Unsupported essential requirements: r1, r2, r3"
