question_id,question,answerable,calibration_class,calibration_basis,expected_decision,predicted_decision,decision_correct,classification,supporting_chunk_ids,decision_reason
mit60001-q-002,What does the course say students should do to practice programming effectively?,True,strong_reject,retrieval_miss_no_credited_evidence_in_top3,reject,accept,False,D_potential_false_accept,nykOeWgQcHM:semantic_cosine_wp240_v1:7,"The candidate excerpt directly supports the answer 'To practice programming effectively, you need to write code that's well organized, modular, easy to understand, and readable by others.' with chunk_id 'nykOeWgQcHM:semantic_cosine_wp240_v1:7'."
mit60001-q-003,How does Python use variable names in different scopes?,True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,"MjbuarJ7SE0:semantic_cosine_wp240_v1:21
MjbuarJ7SE0:semantic_cosine_wp240_v1:42","The candidate excerpt directly supports the answer that Python uses variable names in different scopes, and the scope of a function is a completely separate environment than the environment of the main program."
mit60001-q-004,What is the difference between assignment (=) and equality (==) in Python?,True,strong_reject,retrieval_miss_no_credited_evidence_in_top3,reject,accept,False,D_potential_false_accept,nykOeWgQcHM:semantic_cosine_wp240_v1:53,"The candidate excerpt directly supports the answer that assignment (=) and equality (==) are used differently in Python, with assignment being on the left-hand side and equality on the right-hand side."
mit60001-q-005,"According to the course, why does a recursive function require a base case?",True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,"WPSeyjX1-4s:semantic_cosine_wp240_v1:8
WPSeyjX1-4s:semantic_cosine_wp240_v1:15",The candidate excerpt directly supports the answer that a recursive function requires a base case to avoid infinite recursion.
mit60001-q-006,"According to the lecture, how is the efficiency of an algorithm explained?",True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,o9nW0uBqvEo:semantic_cosine_wp240_v1:14,The candidate excerpt directly supports the answer that the efficiency of an algorithm is explained by counting operations and saying how many of those operations do I use in my algorithm as a function of the size of the input.
mit60001-q-007,What value is bound to a name after an assignment statement is evaluated?,True,strong_reject,retrieval_miss_no_credited_evidence_in_top3,reject,accept,False,D_potential_false_accept,nykOeWgQcHM:semantic_cosine_wp240_v1:53,The candidate excerpt directly supports the answer that the value bound to a name after an assignment statement is evaluated.
mit60001-q-009,"According to the course, how are local variables created and used during a function call?",True,strong_accept,full_credited_ground_truth_coverage,accept,reject,False,B_reviewer_false_reject,,None of the candidate excerpts directly answer the question about how local variables are created and used during a function call.
mit60001-q-010,What is the difference between mutable and immutable objects?,True,strong_reject,retrieval_miss_no_credited_evidence_in_top3,reject,accept,False,D_potential_false_accept,RvRKT-jXvko:semantic_cosine_wp240_v1:43,"The candidate excerpt directly supports the answer that lists are mutable, as stated in the chunk_id 'RvRKT-jXvko:semantic_cosine_wp240_v1:43' and 'RvRKT-jXvko:semantic_cosine_wp240_v1:43'."
mit60001-q-012,How would I use asyncio to run several network requests concurrently in Python?,False,strong_reject,out_of_scope,reject,reject,True,out_of_scope_correct_reject,,None of the candidate excerpts directly address how to use asyncio to run several network requests concurrently in Python.
mit60001-q-013,How do I deploy a Python web application to Kubernetes?,False,strong_reject,out_of_scope,reject,reject,True,out_of_scope_correct_reject,,The provided candidate excerpts do not address the question of deploying a Python web application to Kubernetes.
