question_id,candidate_rank,video_id,title,source_segment_start_index,source_segment_end_index,start_second,end_second,start_transcript_text,end_transcript_text,transcript_excerpt,cosine_score,candidate_status,review_instruction
mit60001-q-015,1,nykOeWgQcHM,1. What is Computation?,621,631,1743.076,1782.749,"And on the left-hand
side here in the editor,","you can add the number
to another number,","And on the left-hand
side here in the editor,
you write more lines and
more complicated programs.
Now we're going to start
talking about Python.
And in Python, we're going
to come back to this,
everything is an object.
And Python programs
manipulate these data objects.
All objects in Python
are going to have a type.
And the type is going to tell
Python the kinds of operations
that you can do
on these objects.
If an object is the
number five, for example,
you can add the number
to another number,",0.369108,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-015,2,nykOeWgQcHM,1. What is Computation?,124,134,313.69,348.82,"That's what the second
line is going to be about.","that's well organized,
modular, easy to understand.","That's what the second
line is going to be about.
The second big
part of this course
is a little bit more
abstract, and it
deals with how do you write
good code, good style,
code that's readable.
When you write code, you
want to write it such
that-- you're in big company,
other people will read it,
other people will
use it, so it has
to be readable and
understandable by others.
To that end, you
need to write code
that's well organized,
modular, easy to understand.",0.355209,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-015,3,-DP1i2ZU9gk,8. Object Oriented Programming,179,191,494.81,530.75,"able to write code that's a lot
more reusable and a lot easier","And then you had
to worry about just","able to write code that's a lot
more reusable and a lot easier
to read in the future.
OK.
So just like when we
talked about functions,
we're going to sort
of separate the code
that we talk about today into
code where you implement a data
type and code where you use
an object that you create.
OK?
So remember when we
talked about functions,
you were thinking about it in
terms of writing a function,
so you had to worry
about the details of how
you implement a function.
And then you had
to worry about just",0.338137,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-015,4,nykOeWgQcHM,1. What is Computation?,610,620,1713.82,1743.076,"If you've done
problem set 0, you'll",testing something out.,"If you've done
problem set 0, you'll
see that you can type
commands directly
in the shell here, which is
the part on the right where
I did some really
simple things, 2 plus 4.
Or you can type commands up in
here, on the left-hand side,
and then run your program.
Notice that, well, we'll
talk about this-- I
won't talk about this now.
But these are-- on the
right-hand side, typically,
you write very simple
commands just if you're
testing something out.",0.336179,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-015,5,nykOeWgQcHM,1. What is Computation?,712,725,2021.412,2057.17,"If you want to
print something out,",to form these expressions.,"If you want to
print something out,
you have to use the print
statement like that.
In this case, this is actually
going to print this number
five to the console.
That's basically what it says.
It just tells you it's an
interaction within the shell
only.
It's not interacting
with anyone else.
And if you don't
have any ""Out,"" that
means it got printed
out to the console.
All right.
We talked a little
bit about objects.
Once you have objects, you can
combine objects and operators
to form these expressions.",0.33087,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-016,1,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",798,809,2357.32,2400.97,"So if you run the
function, and you give it","the function's going to
immediately terminate.","So if you run the
function, and you give it
a list that is empty,
this becomes false,
so the assert is
false, and we're
going to print out an assertion
error, no grades data.
If the assert is false, the
function does not continue.
It stops right there.
Why does it behave this way?
Well, assertions are
great to make sure
that preconditions and
post-conditions on functions
are exactly as you expect.
So as soon as an
assert becomes false,
the function's going to
immediately terminate.",0.66674,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-016,2,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",774,786,2268.8,2317.36,"are these things
called assertions.",Here's an example.,"are these things
called assertions.
And assertions are good example
of defensive programming.
In that, you have
assert statements
at the beginning of
functions, typically.
Or at the end of functions.
And assert statements
are used to make sure
that the assumptions
on computations
are exactly what the
function expects them to be.
So if we have a
function that says
it's supposed to take in
an integer greater than 0,
then the assert
statement will assert
that the function takes in an
integer that's greater than 0.
Here's an example.",0.606259,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-016,3,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",821,832,2432.15,2475.864,"assert being false
a lot earlier.","are being held as the
values are being passed in.","assert being false
a lot earlier.
So it'll be a lot
easier to figure out
where the bug came from.
And you won't have to
trace back so many steps.
So this is basically
what I said,
you really want to spot the bugs
as soon as they're introduced.
And exceptions are good
if you want to raise them
when the user supplies
bad data input,
but assertions are
used to make sure
that the types and other-- the
types of inputs to functions,
maybe other conditions
on inputs to functions,
are being held as the
values are being passed in.",0.579168,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-016,4,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",167,178,375.98,412.23,"So this is pairs
of input and output","At that point, you do
regression testing.","So this is pairs
of input and output
for what you expect
the program to do.
Once you have your test cases
and a piece of code that runs,
you can start doing tests.
So there's three general classes
of tests that you can do.
The first is called
unit testing.
And if you've written functions,
unit testings-- testing just
makes sure that, for example,
each function runs according
to the specifications.
So you do this multiple times.
As you're testing each
function, you might find a bug.
At that point, you do
regression testing.",0.519874,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-016,5,nykOeWgQcHM,1. What is Computation?,426,437,1138.1,1176.8,"It's going to say, is
this particular value","where you might
skip an instruction,","It's going to say, is
this particular value
greater or equal to or the same
as this other particular value?
That's a test, an
example of a test.
And the test is going to
either return true or false.
And depending on the
result of that test,
you might either go to
the next instruction,
or you might set
the program counter
to go all the way back to
the beginning, and so on.
You're not just
linearly stepping
through all the instructions.
There might be some
control flow involved,
where you might
skip an instruction,",0.508085,candidate_requires_human_source_review,Read source before accepting any video/time range.
