question_id,question_en,category,selection_status,primary_candidate_rank,supporting_candidate_ranks,selected_candidate_ranks,selected_evidence,selection_source,selection_note
mit60001-q-015,What does the course say is the difference between using a shell and using an editor?,factual,unresolved_no_primary,,[],[],[],evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),No Primary evidence selected; no range is canonicalized.
mit60001-q-016,"According to the course, what does an assertion check in a program?",factual,selected,2,"[1,3]","[2,1,3]","[{""role"":""Primary"",""candidate_rank"":2,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":774,""source_segment_end_index"":786,""start_second"":2268.8,""end_second"":2317.36},{""role"":""Supporting"",""candidate_rank"":1,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":798,""source_segment_end_index"":809,""start_second"":2357.32,""end_second"":2400.97},{""role"":""Supporting"",""candidate_rank"":3,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":821,""source_segment_end_index"":832,""start_second"":2432.15,""end_second"":2475.864}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-017,What does the course say is the purpose of exception handling?,factual,selected,5,[4],"[5,4]","[{""role"":""Primary"",""candidate_rank"":5,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":537,""source_segment_end_index"":548,""start_second"":1461.39,""end_second"":1510.09},{""role"":""Supporting"",""candidate_rank"":4,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":642,""source_segment_end_index"":654,""start_second"":1799.8,""end_second"":1842.452}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-018,What does black-box testing examine according to the course?,factual,selected,1,[],[1],"[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":216,""source_segment_end_index"":227,""start_second"":508.13,""end_second"":541.32}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-019,"According to the lecture, what is the goal of bisection search?",factual,selected,1,[],[1],"[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""6LOwPhPDwVc"",""source_segment_start_index"":38,""source_segment_end_index"":49,""start_second"":113.6,""end_second"":142.04}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-020,What string operations are introduced in the course?,factual,unresolved_no_primary,,[],[],[],evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),No Primary evidence selected; no range is canonicalized.
mit60001-q-021,How does the course explain the role of Boolean comparisons in branching?,concept_explanation,selected,2,[],[2],"[{""role"":""Primary"",""candidate_rank"":2,""video_id"":""0jljZRnHwOI"",""source_segment_start_index"":320,""source_segment_end_index"":331,""start_second"":990.62,""end_second"":1030.329}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-022,Why is a dictionary more suitable than a list for key-value lookup?,concept_explanation,selected,5,"[3,4]","[5,3,4]","[{""role"":""Primary"",""candidate_rank"":5,""video_id"":""WPSeyjX1-4s"",""source_segment_start_index"":883,""source_segment_end_index"":894,""start_second"":2418.67,""end_second"":2451.17},{""role"":""Supporting"",""candidate_rank"":3,""video_id"":""7lQXYl_L28w"",""source_segment_start_index"":1147,""source_segment_end_index"":1159,""start_second"":2926.03,""end_second"":2952.358},{""role"":""Supporting"",""candidate_rank"":4,""video_id"":""7lQXYl_L28w"",""source_segment_start_index"":1137,""source_segment_end_index"":1146,""start_second"":2901.4,""end_second"":2926.03}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-023,How does the course explain abstraction when functions are used in a program?,concept_explanation,selected,3,[4],"[3,4]","[{""role"":""Primary"",""candidate_rank"":3,""video_id"":""6LOwPhPDwVc"",""source_segment_start_index"":1099,""source_segment_end_index"":1109,""start_second"":2665.1,""end_second"":2691.15},{""role"":""Supporting"",""candidate_rank"":4,""video_id"":""MjbuarJ7SE0"",""source_segment_start_index"":179,""source_segment_end_index"":190,""start_second"":517.97,""end_second"":548.63}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-024,"In the course's discussion of dictionaries, what is the purpose of a dictionary?",concept_explanation,selected,1,[],[1],"[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""7lQXYl_L28w"",""source_segment_start_index"":1147,""source_segment_end_index"":1159,""start_second"":2926.03,""end_second"":2952.358}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-025,How does the course explain the role of inheritance in object-oriented programming?,concept_explanation,unresolved_no_primary,,[],[],[],evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),No Primary evidence selected; no range is canonicalized.
mit60001-q-026,What happens when a list element is accessed using an index?,code_behavior,selected,2,[1],"[2,1]","[{""role"":""Primary"",""candidate_rank"":2,""video_id"":""o9nW0uBqvEo"",""source_segment_start_index"":1068,""source_segment_end_index"":1080,""start_second"":2610.61,""end_second"":2641.72},{""role"":""Supporting"",""candidate_rank"":1,""video_id"":""-DP1i2ZU9gk"",""source_segment_start_index"":115,""source_segment_end_index"":127,""start_second"":323.26,""end_second"":362.32}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-027,How does a for loop process the characters in a string?,code_behavior,selected,1,[],[1],"[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""SE4P7IVCunE"",""source_segment_start_index"":292,""source_segment_end_index"":303,""start_second"":961.62,""end_second"":1000.48}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-028,What happens when an assertion in a program fails?,code_behavior,selected,5,[],[5],"[{""role"":""Primary"",""candidate_rank"":5,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":144,""source_segment_end_index"":153,""start_second"":313.36,""end_second"":342.2}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-029,How does a function return a value to its caller?,code_behavior,selected,2,[],[2],"[{""role"":""Primary"",""candidate_rank"":2,""video_id"":""MjbuarJ7SE0"",""source_segment_start_index"":313,""source_segment_end_index"":325,""start_second"":887.9,""end_second"":928.7}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-030,What role does self play when a method is called on an object?,code_behavior,selected,1,[2],"[1,2]","[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""-DP1i2ZU9gk"",""source_segment_start_index"":338,""source_segment_end_index"":350,""start_second"":956.67,""end_second"":998.73},{""role"":""Supporting"",""candidate_rank"":2,""video_id"":""-DP1i2ZU9gk"",""source_segment_start_index"":326,""source_segment_end_index"":337,""start_second"":919.39,""end_second"":956.67}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-031,What happens when a list is mutated through one of several aliases?,code_behavior,selected,5,[4],"[5,4]","[{""role"":""Primary"",""candidate_rank"":5,""video_id"":""RvRKT-jXvko"",""source_segment_start_index"":695,""source_segment_end_index"":706,""start_second"":2071.15,""end_second"":2112.92},{""role"":""Supporting"",""candidate_rank"":4,""video_id"":""RvRKT-jXvko"",""source_segment_start_index"":613,""source_segment_end_index"":624,""start_second"":1864.16,""end_second"":1898.78}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-032,What happens when an exception is raised and no matching handler is used?,code_behavior,unresolved_no_primary,,[],[],[],evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),No Primary evidence selected; no range is canonicalized.
mit60001-q-033,How does the course connect decomposition and abstraction when building programs with functions?,multi_chunk,selected,3,[],[3],"[{""role"":""Primary"",""candidate_rank"":3,""video_id"":""MjbuarJ7SE0"",""source_segment_start_index"":191,""source_segment_end_index"":201,""start_second"":548.63,""end_second"":576.79}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-034,How does the course connect testing and debugging when finding program errors?,multi_chunk,selected,1,[3],"[1,3]","[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":396,""source_segment_end_index"":406,""start_second"":1030.27,""end_second"":1068.71},{""role"":""Supporting"",""candidate_rank"":3,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":144,""source_segment_end_index"":153,""start_second"":313.36,""end_second"":342.2}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
