retrieval_run_id,question_id,question,category,ground_truth_video_ids_json,dense_first_relevant_rank,bm25_first_relevant_rank,hybrid_first_relevant_rank,hybrid_first_rank_delta_vs_dense,hybrid_first_rank_outcome,dense_chunks_to_full_coverage,bm25_chunks_to_full_coverage,hybrid_chunks_to_full_coverage,hybrid_full_coverage_rank_delta_vs_dense,dense_recall_at_10,bm25_recall_at_10,hybrid_recall_at_10,hybrid_top_10_overlap_count_with_dense,hybrid_top_10_new_count_vs_dense,dense_top_10_chunk_ids_json,bm25_top_10_chunk_ids_json,hybrid_top_10_chunk_ids_json,review_status
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-001,"According to the course introduction, what learning goals are introduced for students?",factual,"[""nykOeWgQcHM"",""6LOwPhPDwVc""]",1,1,1,0,equal,10,425,36,26,1,1,1,6,4,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:12"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:0"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""9H6muyZjms0:semantic_cosine_wp240_v1:0"",""2__KumJsGXc:semantic_cosine_wp240_v1:0"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:77""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:55"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:9"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""SE4P7IVCunE:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:47"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:2"",""FlGjISF3l78:semantic_cosine_wp240_v1:57""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:0"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:55"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:0""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-002,What does the course say students should do to practice programming effectively?,factual,"[""nykOeWgQcHM""]",4,1,3,-1,improved,4,4,4,0,1,1,1,5,5,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:2"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:0"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:5"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:24""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:55"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:66"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:75"",""nykOeWgQcHM:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""nykOeWgQcHM:semantic_cosine_wp240_v1:30""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""0jljZRnHwOI:semantic_cosine_wp240_v1:24"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:17"",""0jljZRnHwOI:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-003,How does Python use variable names in different scopes?,concept_explanation,"[""MjbuarJ7SE0""]",1,1,1,0,equal,1,1,1,0,1,1,1,6,4,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:51"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:50"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:25"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:36"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""FlGjISF3l78:semantic_cosine_wp240_v1:4"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:47"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""nykOeWgQcHM:semantic_cosine_wp240_v1:51"",""RvRKT-jXvko:semantic_cosine_wp240_v1:46"",""FlGjISF3l78:semantic_cosine_wp240_v1:52"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:75""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:36"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:47"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:51"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-004,What is the difference between assignment (=) and equality (==) in Python?,concept_explanation,"[""0jljZRnHwOI""]",17,2,3,-14,improved,17,2,3,-14,0,1,1,4,6,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""0jljZRnHwOI:semantic_cosine_wp240_v1:31"",""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:35"",""RvRKT-jXvko:semantic_cosine_wp240_v1:8"",""0jljZRnHwOI:semantic_cosine_wp240_v1:37"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3""]","[""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:60"",""P-0w8xWcnDQ:semantic_cosine_wp240_v1:2"",""nykOeWgQcHM:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""FlGjISF3l78:semantic_cosine_wp240_v1:43"",""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:58"",""FlGjISF3l78:semantic_cosine_wp240_v1:7""]","[""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3"",""0jljZRnHwOI:semantic_cosine_wp240_v1:17"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:43"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""nykOeWgQcHM:semantic_cosine_wp240_v1:9"",""0jljZRnHwOI:semantic_cosine_wp240_v1:6""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-005,"According to the course, why does a recursive function require a base case?",concept_explanation,"[""WPSeyjX1-4s""]",2,38,9,7,worse,2,38,9,7,1,0,1,5,5,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:2"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:77"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:7"",""7lQXYl_L28w:semantic_cosine_wp240_v1:58"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:71""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""9H6muyZjms0:semantic_cosine_wp240_v1:10"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""7lQXYl_L28w:semantic_cosine_wp240_v1:25"",""7lQXYl_L28w:semantic_cosine_wp240_v1:63"",""9H6muyZjms0:semantic_cosine_wp240_v1:51"",""RvRKT-jXvko:semantic_cosine_wp240_v1:28"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:16""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:45"",""SE4P7IVCunE:semantic_cosine_wp240_v1:2"",""7lQXYl_L28w:semantic_cosine_wp240_v1:47"",""7lQXYl_L28w:semantic_cosine_wp240_v1:25"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:7"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:77""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-006,"According to the lecture, how is the efficiency of an algorithm explained?",concept_explanation,"[""o9nW0uBqvEo""]",1,2,1,0,equal,1,2,1,0,1,1,1,8,2,"[""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:13"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:12"",""7lQXYl_L28w:semantic_cosine_wp240_v1:11"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:19"",""7lQXYl_L28w:semantic_cosine_wp240_v1:81"",""7lQXYl_L28w:semantic_cosine_wp240_v1:37"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:0""]","[""o9nW0uBqvEo:semantic_cosine_wp240_v1:12"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:13"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:19"",""7lQXYl_L28w:semantic_cosine_wp240_v1:3"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""7lQXYl_L28w:semantic_cosine_wp240_v1:81"",""FlGjISF3l78:semantic_cosine_wp240_v1:28"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:61""]","[""o9nW0uBqvEo:semantic_cosine_wp240_v1:13"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:12"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:19"",""7lQXYl_L28w:semantic_cosine_wp240_v1:81"",""7lQXYl_L28w:semantic_cosine_wp240_v1:3"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:0"",""7lQXYl_L28w:semantic_cosine_wp240_v1:1"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-007,What value is bound to a name after an assignment statement is evaluated?,code_behavior,"[""nykOeWgQcHM""]",6,2,2,-4,improved,6,2,2,-4,1,1,1,4,6,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:54"",""2__KumJsGXc:semantic_cosine_wp240_v1:1"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:50"",""nykOeWgQcHM:semantic_cosine_wp240_v1:51""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:18"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:20"",""9H6muyZjms0:semantic_cosine_wp240_v1:33"",""FlGjISF3l78:semantic_cosine_wp240_v1:14"",""7lQXYl_L28w:semantic_cosine_wp240_v1:4"",""0jljZRnHwOI:semantic_cosine_wp240_v1:36"",""0jljZRnHwOI:semantic_cosine_wp240_v1:25""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:18"",""nykOeWgQcHM:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:14"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3"",""2__KumJsGXc:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:25""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-008,Why can rebinding a variable name leave the previous object unchanged?,code_behavior,"[""nykOeWgQcHM"",""SE4P7IVCunE""]",2,12,8,6,worse,22,197,38,16,1,0,1,5,5,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""nykOeWgQcHM:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:57"",""SE4P7IVCunE:semantic_cosine_wp240_v1:16"",""RvRKT-jXvko:semantic_cosine_wp240_v1:49"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4"",""FlGjISF3l78:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:26"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:52"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:53""]","[""FlGjISF3l78:semantic_cosine_wp240_v1:40"",""FlGjISF3l78:semantic_cosine_wp240_v1:17"",""FlGjISF3l78:semantic_cosine_wp240_v1:41"",""RvRKT-jXvko:semantic_cosine_wp240_v1:16"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""FlGjISF3l78:semantic_cosine_wp240_v1:36"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""FlGjISF3l78:semantic_cosine_wp240_v1:18"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""FlGjISF3l78:semantic_cosine_wp240_v1:36"",""RvRKT-jXvko:semantic_cosine_wp240_v1:49"",""FlGjISF3l78:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:40"",""SE4P7IVCunE:semantic_cosine_wp240_v1:14"",""SE4P7IVCunE:semantic_cosine_wp240_v1:16"",""RvRKT-jXvko:semantic_cosine_wp240_v1:16""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-009,"According to the course, how are local variables created and used during a function call?",code_behavior,"[""MjbuarJ7SE0""]",1,37,5,4,worse,1,37,5,4,1,0,1,7,3,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:22"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:19"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:35"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:49"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:27"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:23"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:24""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:27"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""FlGjISF3l78:semantic_cosine_wp240_v1:59"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:0"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""QaOHeMnpnmU:semantic_cosine_wp240_v1:1"",""ncpb4wIsQu8:semantic_cosine_wp240_v1:0""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:27"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:23"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:22"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:16"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:14"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:19"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:49"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:35""]",pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,mit60001-q-010,What is the difference between mutable and immutable objects?,confusable,"[""RvRKT-jXvko""]",12,1,4,-8,improved,12,1,4,-8,0,1,1,7,3,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:2"",""RvRKT-jXvko:semantic_cosine_wp240_v1:48"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43"",""RvRKT-jXvko:semantic_cosine_wp240_v1:44"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:6"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:65"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:3"",""SE4P7IVCunE:semantic_cosine_wp240_v1:13""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:21"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:48"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:67"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:29"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:65"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:1"",""FlGjISF3l78:semantic_cosine_wp240_v1:43"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:48"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""RvRKT-jXvko:semantic_cosine_wp240_v1:21"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:65"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:1"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:3"",""RvRKT-jXvko:semantic_cosine_wp240_v1:2"",""FlGjISF3l78:semantic_cosine_wp240_v1:7""]",pending_human_decision
