intent_id,translation_review_status,en_first_relevant_rank,vi_first_relevant_rank,rank_delta_vi_minus_en,en_reciprocal_rank,vi_reciprocal_rank,en_recall_at_1,vi_recall_at_1,en_recall_at_3,vi_recall_at_3,en_recall_at_5,vi_recall_at_5,en_full_evidence_at_3,vi_full_evidence_at_3,top_3_overlap_count,top_3_overlap_rate,exact_top_3_match,first_relevant_rank_outcome
mit60001-q-001,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,0,0,3,1.0,True,unchanged
mit60001-q-002,Equivalent,4,5,1,0.25,0.2,0,0,0,0,1,1,0,0,3,1.0,True,degraded
mit60001-q-003,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,1,1,3,1.0,True,unchanged
mit60001-q-004,Equivalent,17,22,5,0.058823529412,0.045454545455,0,0,0,0,0,0,0,0,2,0.666666667,False,degraded
mit60001-q-005,Equivalent,2,3,1,0.5,0.333333333333,0,0,1,1,1,1,1,1,3,1.0,False,degraded
mit60001-q-006,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,1,1,3,1.0,False,unchanged
mit60001-q-008,Minor wording difference,2,7,5,0.5,0.142857142857,0,0,1,0,1,0,0,0,0,0.0,False,degraded
mit60001-q-010,Equivalent,12,13,1,0.083333333333,0.076923076923,0,0,0,0,0,0,0,0,3,1.0,True,degraded
mit60001-q-014,Equivalent,30,19,-11,0.033333333333,0.052631578947,0,0,0,0,0,0,0,0,2,0.666666667,False,improved
mit60001-q-016,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,1,1,3,1.0,True,unchanged
mit60001-q-020,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,1,1,3,1.0,False,unchanged
mit60001-q-021,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,1,1,2,0.666666667,False,unchanged
mit60001-q-022,Equivalent,3,3,0,0.333333333333,0.333333333333,0,0,1,1,1,1,0,0,3,1.0,True,unchanged
mit60001-q-023,Equivalent,6,6,0,0.166666666667,0.166666666667,0,0,0,0,0,0,0,0,2,0.666666667,False,unchanged
mit60001-q-025,Equivalent,2,3,1,0.5,0.333333333333,0,0,1,1,1,1,1,1,3,1.0,False,degraded
mit60001-q-029,Equivalent,2,1,-1,0.5,1.0,0,1,1,1,1,1,1,1,2,0.666666667,False,improved
mit60001-q-033,Equivalent,2,1,-1,0.5,1.0,0,1,1,1,1,1,1,1,2,0.666666667,False,improved
mit60001-q-034,Equivalent,2,1,-1,0.5,1.0,0,1,1,1,1,1,0,1,2,0.666666667,False,improved
mit60001-q-037,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,0,0,2,0.666666667,False,unchanged
mit60001-q-039,Equivalent,1,1,0,1.0,1.0,1,1,1,1,1,1,1,1,2,0.666666667,False,unchanged
