schema_version,question_id,scope_version,question,category,answerable,expected_answer_points,relevant_video_ids,relevant_time_ranges,review_status,reviewer,review_notes
chunking_evaluation_question_v1,mit60001-q-015,mit_60001_fall_2016_v1,"What does the course say is the difference between using a shell and using an editor?",factual,True,[],[],[],draft,unassigned,"Batch 02 candidate; wording is scoped to course content and source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-016,mit_60001_fall_2016_v1,"According to the course, what does an assertion check in a program?",factual,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-017,mit_60001_fall_2016_v1,"What does the course say is the purpose of exception handling?",factual,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-018,mit_60001_fall_2016_v1,"What does black-box testing examine according to the course?",factual,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-019,mit_60001_fall_2016_v1,"According to the lecture, what is the goal of bisection search?",factual,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-020,mit_60001_fall_2016_v1,"What string operations are introduced in the course?",factual,True,[],[],[],draft,unassigned,"Revised after coverage review to add Strings; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-021,mit_60001_fall_2016_v1,"How does the course explain the role of Boolean comparisons in branching?",concept_explanation,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-022,mit_60001_fall_2016_v1,"Why is a dictionary more suitable than a list for key-value lookup?",concept_explanation,True,[],[],[],draft,unassigned,"Revised after coverage review to add dictionary lookup; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-023,mit_60001_fall_2016_v1,"How does the course explain abstraction when functions are used in a program?",concept_explanation,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-024,mit_60001_fall_2016_v1,"In the course's discussion of dictionaries, what is the purpose of a dictionary?",concept_explanation,True,[],[],[],draft,unassigned,"Revised after coverage review to add dictionary purpose; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-025,mit_60001_fall_2016_v1,"How does the course explain the role of inheritance in object-oriented programming?",concept_explanation,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-026,mit_60001_fall_2016_v1,"What happens when a list element is accessed using an index?",code_behavior,True,[],[],[],draft,unassigned,"Revised after coverage review to add list indexing; source evidence has not been verified."
