reranking_run_id,retrieval_method,question_id,candidate_depth,first_relevant_rank,reciprocal_rank,chunks_to_full_coverage,score_type,top_3_chunk_ids_json,top_3_scores_json,top_3_relevant_flags_json,top_10_chunk_ids_json,top_10_scores_json,top_10_relevant_flags_json
mit60001_rerank_46564f781c27d679,dense_baseline_v1,mit60001-q-001,50,1,1.0,10,dense_cosine,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7""]","[0.45026976,0.4196167,0.40323442]","[true,true,false]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:12"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:0"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""9H6muyZjms0:semantic_cosine_wp240_v1:0"",""2__KumJsGXc:semantic_cosine_wp240_v1:0"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:77""]","[0.45026976,0.4196167,0.40323442,0.3892127,0.35478374,0.35360771,0.34288538,0.3417058,0.3403247,0.34014621]","[true,true,false,true,false,false,false,false,false,true]"
mit60001_rerank_46564f781c27d679,cross_encoder_ms_marco_minilm_l6_v2,mit60001-q-001,50,1,1.0,43,cross_encoder_raw_logit,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3""]","[-6.57091236,-7.83222437,-8.66965675]","[true,true,true]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28"",""RvRKT-jXvko:semantic_cosine_wp240_v1:0"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""FlGjISF3l78:semantic_cosine_wp240_v1:45"",""nykOeWgQcHM:semantic_cosine_wp240_v1:12"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:57""]","[-6.57091236,-7.83222437,-8.66965675,-8.75823879,-9.3701973,-9.62174988,-10.01738548,-10.05343437,-10.0938797,-10.29194164]","[true,true,true,false,false,false,false,false,false,false]"
mit60001_rerank_46564f781c27d679,dense_baseline_v1,mit60001-q-002,50,4,0.25,4,dense_cosine,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5""]","[0.63967401,0.60229814,0.57399601]","[false,false,false]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:2"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:0"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:5"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:24""]","[0.63967401,0.60229814,0.57399601,0.5258621,0.51018894,0.4597114,0.44794807,0.4353157,0.42804447,0.41043955]","[false,false,false,true,false,true,false,false,false,false]"
mit60001_rerank_46564f781c27d679,cross_encoder_ms_marco_minilm_l6_v2,mit60001-q-002,50,1,1.0,2,cross_encoder_raw_logit,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5""]","[0.29219538,-1.25902653,-1.30519164]","[true,true,false]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:5"",""FlGjISF3l78:semantic_cosine_wp240_v1:1"",""0jljZRnHwOI:semantic_cosine_wp240_v1:24"",""0jljZRnHwOI:semantic_cosine_wp240_v1:1"",""9H6muyZjms0:semantic_cosine_wp240_v1:6""]","[0.29219538,-1.25902653,-1.30519164,-1.33584249,-2.56643295,-5.67261887,-6.52405262,-6.94816208,-7.02301025,-7.07381296]","[true,true,false,false,false,false,false,false,false,false]"
mit60001_rerank_46564f781c27d679,dense_baseline_v1,mit60001-q-003,50,1,1.0,1,dense_cosine,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42""]","[0.74052978,0.62330055,0.62177235]","[true,false,true]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:51"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:50"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:25"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:36"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""FlGjISF3l78:semantic_cosine_wp240_v1:4"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43""]","[0.74052978,0.62330055,0.62177235,0.60432994,0.59179282,0.59100914,0.5889492,0.58161163,0.57704747,0.57416046]","[true,false,true,false,false,false,false,false,false,false]"
mit60001_rerank_46564f781c27d679,cross_encoder_ms_marco_minilm_l6_v2,mit60001-q-003,50,1,1.0,1,cross_encoder_raw_logit,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4""]","[5.63060617,4.49215508,4.31819534]","[true,false,false]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:25"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""0jljZRnHwOI:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:51"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3""]","[5.63060617,4.49215508,4.31819534,3.86651516,3.53837585,3.29591632,2.36849356,1.67366338,1.35539925,1.31105149]","[true,false,false,false,true,false,false,false,false,false]"
mit60001_rerank_46564f781c27d679,dense_baseline_v1,mit60001-q-004,50,17,0.058823529,17,dense_cosine,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""0jljZRnHwOI:semantic_cosine_wp240_v1:31"",""0jljZRnHwOI:semantic_cosine_wp240_v1:32""]","[0.6762619,0.62427723,0.59967524]","[false,false,false]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""0jljZRnHwOI:semantic_cosine_wp240_v1:31"",""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:35"",""RvRKT-jXvko:semantic_cosine_wp240_v1:8"",""0jljZRnHwOI:semantic_cosine_wp240_v1:37"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3""]","[0.6762619,0.62427723,0.59967524,0.57684958,0.55748808,0.54102939,0.53855306,0.53070062,0.51976907,0.51858079]","[false,false,false,false,false,false,false,false,false,false]"
mit60001_rerank_46564f781c27d679,cross_encoder_ms_marco_minilm_l6_v2,mit60001-q-004,50,2,0.5,2,cross_encoder_raw_logit,"[""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3""]","[0.00625164,-0.47779399,-0.79088897]","[false,true,false]","[""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:16"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:44"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:35""]","[0.00625164,-0.47779399,-0.79088897,-0.96721387,-2.56675148,-3.10653329,-3.15026069,-3.18010378,-3.39684963,-3.47682524]","[false,true,false,false,false,false,false,false,false,false]"
mit60001_rerank_46564f781c27d679,dense_baseline_v1,mit60001-q-005,50,2,0.5,2,dense_cosine,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15""]","[0.60283113,0.59281111,0.57747614]","[false,true,false]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:2"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:77"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:7"",""7lQXYl_L28w:semantic_cosine_wp240_v1:58"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:71""]","[0.60283113,0.59281111,0.57747614,0.53934956,0.50985962,0.50805682,0.48721367,0.48474431,0.47629791,0.46954829]","[false,true,false,false,false,false,false,true,false,false]"
mit60001_rerank_46564f781c27d679,cross_encoder_ms_marco_minilm_l6_v2,mit60001-q-005,50,5,0.2,5,cross_encoder_raw_logit,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22""]","[1.74909759,1.30873048,1.14847791]","[false,false,false]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:16"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:7"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:34"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:45"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:12""]","[1.74909759,1.30873048,1.14847791,-0.1336394,-0.14510959,-0.58413863,-0.89882457,-2.1343441,-2.61085367,-4.44020844]","[false,false,false,false,true,true,false,false,false,false]"
