intent_id,question_vi,frozen_literal_en,machine_literal_en,exact_string_match,rank_delta_machine_minus_frozen,top_3_overlap,adjudication,reviewer_notes
mit60001-q-001,"Theo phần giới thiệu khóa học, những mục tiêu học tập nào được nêu ra cho sinh viên?",What learning objectives are stated for students in the introduction to the course?,Learning Objectives,False,2,1,Semantic drift,"Machine output chỉ còn 'Learning Objectives', làm mất intent hỏi những mục tiêu nào được nêu cho sinh viên trong phần giới thiệu khóa học."
mit60001-q-002,"Theo khóa học, sinh viên nên làm gì để luyện lập trình một cách hiệu quả?",What should students do to effectively practice programming according to the course?,"According to the course, how should students practice programming in an effective way?",False,0,3,Equivalent,Giữ nguyên intent: sinh viên nên luyện programming như thế nào để hiệu quả theo khóa học.
mit60001-q-003,Python sử dụng các tên biến trong những phạm vi khác nhau như thế nào?,How does Python use variable names in different scopes?,Python uses variable names in different scopes how?,False,0,2,Equivalent,Câu tiếng Anh hơi sai trật tự từ nhưng vẫn giữ đầy đủ intent về cách Python dùng variable names trong các scopes khác nhau.
mit60001-q-004,"Trong Python, câu lệnh gán (=) khác phép so sánh bằng (==) như thế nào?",How does the assignment operator (=) differ from the comparison operator (==) in Python?,Assignment operator (gán) is different from comparison operator (so sánh) in Python.,False,33,2,Minor wording difference,"Vẫn giữ intent so sánh assignment operator và comparison operator trong Python, nhưng chuyển từ câu hỏi 'khác nhau như thế nào' thành câu khẳng định chưa hoàn chỉnh."
mit60001-q-005,"Theo khóa học, vì sao một hàm đệ quy cần có trường hợp cơ sở?",Why does a recursive function need a base case?,Why is a recursive function in a course required to have a base case?,False,-2,3,Minor wording difference,Giữ đúng câu hỏi why về recursive function cần base case; cụm 'in a course' là diễn đạt vụng so với 'according to the course' nhưng không đổi intent.
mit60001-q-006,"Theo bài giảng, độ hiệu quả (efficiency) của một thuật toán được giải thích như thế nào?",How is the efficiency of a algorithm explained in the lecture?,"According to the lecture, the efficiency of an algorithm is explained as follows.",False,0,1,Minor wording difference,"Vẫn giữ chủ đề lecture giải thích algorithm efficiency, nhưng chuyển câu hỏi 'how is ... explained?' thành câu dẫn 'is explained as follows' mà không có phần sau."
mit60001-q-008,Vì sao việc gán lại một tên biến sang giá trị mới có thể khiến đối tượng trước đó vẫn không thay đổi?,Why does assigning a new value to a variable that was previously assigned a different value not necessarily change the original value?,Why can assigning a new name to an object change its value?,False,20,0,Semantic drift,Đảo nghĩa quan trọng: câu gốc hỏi vì sao rebinding tên biến có thể để object trước đó không đổi; machine lại hỏi vì sao assigning a new name có thể làm object đổi value.
mit60001-q-010,Đối tượng mutable và immutable khác nhau như thế nào?,What are the differences between mutable and immutable objects?,Mutable object,False,51,2,Semantic drift,"Machine output chỉ còn 'Mutable object', làm mất comparison giữa mutable và immutable objects."
mit60001-q-014,List và dictionary trong Python khác nhau như thế nào?,What are the differences between lists and dictionaries in Python?,List,False,108,1,Semantic drift,"Machine output chỉ còn 'List', làm mất dictionary và intent so sánh list với dictionary."
mit60001-q-016,"Theo khóa học, một câu lệnh assertion kiểm tra điều gì trong chương trình?",What does an assertion check in a program?,Assertion,False,0,2,Semantic drift,"Machine output chỉ còn 'Assertion', làm mất intent hỏi assertion kiểm tra điều gì trong program."
mit60001-q-020,"Bài giảng sử dụng len, indexing và slicing như thế nào để xem xét hoặc trích xuất các phần của một chuỗi?","How does the lecture use len, indexing, and slicing to examine or extract parts of a string?","The lecture uses len, indexing, and slicing to examine or extract parts of a string.",False,0,3,Minor wording difference,"Giữ đầy đủ len, indexing, slicing và string-part intent, nhưng chuyển câu hỏi thành câu khẳng định."
mit60001-q-021,"Theo khóa học, các phép so sánh Boolean đóng vai trò gì trong việc rẽ nhánh?",What role do Boolean comparisons play in branching in the course?,Boolean comparison roles in branching,False,1,2,Minor wording difference,"Cụm danh từ vẫn giữ intent về vai trò của Boolean comparisons trong branching, chỉ mất cấu trúc câu hỏi và attribution 'the course'."
