reranking_run_id,question_id,question,category,dense_first_relevant_rank,reranked_first_relevant_rank,reranked_first_rank_delta_vs_dense,first_rank_outcome,dense_chunks_to_full_coverage,reranked_chunks_to_full_coverage,reranked_full_coverage_rank_delta_vs_dense,full_coverage_outcome,dense_top_3_relevant_count,reranked_top_3_relevant_count,top_3_overlap_count,dense_top_3_chunk_ids_json,reranked_top_3_chunk_ids_json,review_status
mit60001_rerank_46564f781c27d679,mit60001-q-001,"According to the course introduction, what learning goals are introduced for students?",factual,1,1,0,equal,10,43,33,worse,2,3,2,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-002,What does the course say students should do to practice programming effectively?,factual,4,1,-3,improved,4,2,-2,improved,0,2,1,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-003,How does Python use variable names in different scopes?,concept_explanation,1,1,0,equal,1,1,0,equal,2,1,1,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-004,What is the difference between assignment (=) and equality (==) in Python?,concept_explanation,17,2,-15,improved,17,2,-15,improved,0,1,1,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""0jljZRnHwOI:semantic_cosine_wp240_v1:31"",""0jljZRnHwOI:semantic_cosine_wp240_v1:32""]","[""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-005,"According to the course, why does a recursive function require a base case?",concept_explanation,2,5,3,worse,2,5,3,worse,1,0,2,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-006,"According to the lecture, how is the efficiency of an algorithm explained?",concept_explanation,1,3,2,worse,1,3,2,worse,2,1,1,"[""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:13"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28""]","[""o9nW0uBqvEo:semantic_cosine_wp240_v1:12"",""7lQXYl_L28w:semantic_cosine_wp240_v1:3"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:13""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-007,What value is bound to a name after an assignment statement is evaluated?,code_behavior,6,1,-5,improved,6,1,-5,improved,0,1,1,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:54""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-008,Why can rebinding a variable name leave the previous object unchanged?,code_behavior,2,2,0,equal,22,19,-3,improved,1,1,1,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""nykOeWgQcHM:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:57""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""nykOeWgQcHM:semantic_cosine_wp240_v1:55"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-009,"According to the course, how are local variables created and used during a function call?",code_behavior,1,18,17,worse,1,18,17,worse,1,0,0,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:22""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:49"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:27"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:23""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-010,What is the difference between mutable and immutable objects?,confusable,12,2,-10,improved,12,2,-10,improved,0,1,0,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:2"",""RvRKT-jXvko:semantic_cosine_wp240_v1:48"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:21"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:65""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-014,What is the difference between a Python list and a dictionary?,concept_explanation,30,32,2,worse,30,32,2,worse,0,0,2,"[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:7"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:70"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:7"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:2""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-015,"According to the course, how is using the shell different from using the editor?",factual,1,2,1,worse,1,2,1,worse,1,1,2,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:39"",""nykOeWgQcHM:semantic_cosine_wp240_v1:46"",""nykOeWgQcHM:semantic_cosine_wp240_v1:44""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:44"",""nykOeWgQcHM:semantic_cosine_wp240_v1:39"",""Y6J8I056Ffw:semantic_cosine_wp240_v1:0""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-016,"According to the course, what does an assertion check in a program?",factual,1,1,0,equal,3,4,1,worse,3,3,2,"[""9H6muyZjms0:semantic_cosine_wp240_v1:51"",""9H6muyZjms0:semantic_cosine_wp240_v1:49"",""9H6muyZjms0:semantic_cosine_wp240_v1:52""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:51"",""9H6muyZjms0:semantic_cosine_wp240_v1:49"",""9H6muyZjms0:semantic_cosine_wp240_v1:50""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-017,What does the course say is the purpose of exception handling?,factual,3,3,0,equal,5,4,-1,improved,1,1,1,"[""9H6muyZjms0:semantic_cosine_wp240_v1:31"",""9H6muyZjms0:semantic_cosine_wp240_v1:37"",""9H6muyZjms0:semantic_cosine_wp240_v1:41""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:31"",""9H6muyZjms0:semantic_cosine_wp240_v1:32"",""9H6muyZjms0:semantic_cosine_wp240_v1:35""]",pending_human_decision
