question_id,question,locked_baseline_decision,current_control_decision,candidate_v2_decision,baseline_to_control_decision_changed,control_to_candidate_decision_changed,locked_baseline_supporting_chunk_ids,current_control_supporting_chunk_ids,candidate_v2_supporting_chunk_ids
mit60001-q-001,"According to the course introduction, what learning goals are introduced for students?",reject,reject,accept,False,True,[],[],"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7""]"
mit60001-q-002,What does the course say students should do to practice programming effectively?,accept,accept,accept,False,False,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:7""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:7""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5""]"
mit60001-q-003,How does Python use variable names in different scopes?,accept,accept,accept,False,False,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42""]"
mit60001-q-004,What is the difference between assignment (=) and equality (==) in Python?,accept,accept,accept,False,False,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:53""]","[""0jljZRnHwOI:semantic_cosine_wp240_v1:31"",""0jljZRnHwOI:semantic_cosine_wp240_v1:32""]"
mit60001-q-005,"According to the course, why does a recursive function require a base case?",accept,accept,accept,False,False,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15""]"
mit60001-q-006,"According to the lecture, how is the efficiency of an algorithm explained?",accept,accept,accept,False,False,"[""o9nW0uBqvEo:semantic_cosine_wp240_v1:14""]","[""o9nW0uBqvEo:semantic_cosine_wp240_v1:14""]","[""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:13""]"
mit60001-q-007,What value is bound to a name after an assignment statement is evaluated?,accept,accept,accept,False,False,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:53""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""nykOeWgQcHM:semantic_cosine_wp240_v1:54"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17""]"
mit60001-q-008,Why can rebinding a variable name leave the previous object unchanged?,accept,accept,accept,False,False,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:55""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:55""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:55""]"
mit60001-q-009,"According to the course, how are local variables created and used during a function call?",reject,reject,accept,False,True,[],[],"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:22"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45""]"
mit60001-q-010,What is the difference between mutable and immutable objects?,accept,accept,accept,False,False,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:43""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:43""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:2"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43"",""RvRKT-jXvko:semantic_cosine_wp240_v1:48""]"
mit60001-q-012,How would I use asyncio to run several network requests concurrently in Python?,reject,reject,reject,False,False,[],[],[]
mit60001-q-013,How do I deploy a Python web application to Kubernetes?,reject,reject,reject,False,False,[],[],[]
mit60001-q-014,What is the difference between a Python list and a dictionary?,accept,accept,reject,False,True,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:24""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:24""]",[]
