question_id,question,answerable,first_relevant_rank,chunks_to_full_coverage,credited_evidence_status,calibration_class,reference_decision,calibration_basis,human_review_required,audit_flag
mit60001-q-001,"According to the course introduction, what learning goals are introduced for students?",True,1,10,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-002,What does the course say students should do to practice programming effectively?,True,4,4,no_credited_evidence_in_top3,strong_reject,reject,retrieval_miss_no_credited_evidence_in_top3,False,
mit60001-q-003,How does Python use variable names in different scopes?,True,1,1,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-004,What is the difference between assignment (=) and equality (==) in Python?,True,17,17,no_credited_evidence_in_top3,strong_reject,reject,retrieval_miss_no_credited_evidence_in_top3,False,
mit60001-q-005,"According to the course, why does a recursive function require a base case?",True,2,2,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-006,"According to the lecture, how is the efficiency of an algorithm explained?",True,1,1,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-007,What value is bound to a name after an assignment statement is evaluated?,True,6,6,no_credited_evidence_in_top3,strong_reject,reject,retrieval_miss_no_credited_evidence_in_top3,False,
mit60001-q-008,Why can rebinding a variable name leave the previous object unchanged?,True,2,22,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-009,"According to the course, how are local variables created and used during a function call?",True,1,1,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-010,What is the difference between mutable and immutable objects?,True,12,12,no_credited_evidence_in_top3,strong_reject,reject,retrieval_miss_no_credited_evidence_in_top3,False,
mit60001-q-012,How would I use asyncio to run several network requests concurrently in Python?,False,,,not_applicable,strong_reject,reject,out_of_scope,False,
mit60001-q-013,How do I deploy a Python web application to Kubernetes?,False,,,not_applicable,strong_reject,reject,out_of_scope,False,
mit60001-q-014,What is the difference between a Python list and a dictionary?,True,30,30,no_credited_evidence_in_top3,strong_reject,reject,retrieval_miss_no_credited_evidence_in_top3,False,
mit60001-q-015,"According to the course, how is using the shell different from using the editor?",True,1,1,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-016,"According to the course, what does an assertion check in a program?",True,1,3,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-017,What does the course say is the purpose of exception handling?,True,3,5,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-018,What does black-box testing examine according to the course?,True,2,2,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-019,"According to the lecture, what is the goal of bisection search?",True,1,1,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-020,"How does the lecture use len, indexing, and slicing to inspect or extract parts of a string?",True,1,3,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-021,How does the course explain the role of Boolean comparisons in branching?,True,1,1,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-022,Why is a dictionary more suitable than a list for key-value lookup?,True,3,9,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-023,How does the course explain abstraction when functions are used in a program?,True,6,12,no_credited_evidence_in_top3,needs_human_review,,reranking_human_audit_flag,True,possible_ground_truth_under_credit
mit60001-q-025,How does the course explain the role of inheritance in object-oriented programming?,True,2,2,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-026,What happens when a list element is accessed using an index?,True,1,4,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-027,How does a for loop process the characters in a string?,True,3,3,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-029,How does a function return a value to its caller?,True,2,2,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-030,What role does self play when a method is called on an object?,True,1,2,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-031,What happens when a list is mutated through one of several aliases?,True,3,5,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-032,What happens when an exception is raised and no matching handler is used?,True,3,4,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-033,How does the course connect decomposition and abstraction when building programs with functions?,True,2,2,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-034,How does the course connect testing and debugging when finding program errors?,True,2,5,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-035,How does the course connect list aliasing with mutation side effects?,True,2,4,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-037,How do linear search and binary search differ in the number of elements they need to examine?,True,1,6,partial_coverage_in_top3,needs_human_review,,partial_credited_ground_truth_coverage,True,
mit60001-q-038,How does the requirement for sorted input distinguish binary search from linear search?,True,5,5,no_credited_evidence_in_top3,strong_reject,reject,retrieval_miss_no_credited_evidence_in_top3,False,
mit60001-q-039,How does the course distinguish black-box testing from glass-box testing?,True,1,2,full_coverage_in_top3,strong_accept,accept,full_credited_ground_truth_coverage,False,
mit60001-q-040,How does the course distinguish an exception from an assertion failure?,True,4,4,no_credited_evidence_in_top3,strong_reject,reject,retrieval_miss_no_credited_evidence_in_top3,False,
mit60001-q-041,How does the course distinguish a class from an instance of that class?,True,5,9,no_credited_evidence_in_top3,needs_human_review,,reranking_human_audit_flag,True,possible_ground_truth_under_credit
mit60001-q-042,How do Python type hints work in a FastAPI endpoint?,False,,,not_applicable,strong_reject,reject,out_of_scope,False,
mit60001-q-043,How do I train a transformer model with PyTorch?,False,,,not_applicable,strong_reject,reject,out_of_scope,False,
mit60001-q-044,How do I provision cloud infrastructure with Terraform?,False,,,not_applicable,strong_reject,reject,out_of_scope,False,
