question_id,evaluation_status,answerable,expected_evidence_decision,m3_runtime_status,reliability_runtime_status,generator_decision,decision_outcome,decision_correct,normalization_applied,normalization_reason,response_exact_match_with_m3,quality_review_required
mit60001-q-001,evaluated,Yes,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-002,evaluated,Yes,evidence_insufficient,failed,passed,abstain,tn,true,true,abstain_literal_to_null,false,false
mit60001-q-003,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,false,true
mit60001-q-004,evaluated,Yes,evidence_insufficient,failed,passed,abstain,tn,true,true,abstain_literal_to_null,false,false
mit60001-q-005,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-006,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-007,evaluated,Yes,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-008,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-009,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-010,evaluated,Yes,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-012,evaluated,No,evidence_insufficient,failed,passed,abstain,tn,true,true,abstain_literal_to_null,false,false
mit60001-q-013,evaluated,No,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-014,evaluated,Yes,evidence_insufficient,failed,passed,answer,fp,false,true,duplicate_supporting_ids,false,true
mit60001-q-015,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-016,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-017,excluded,Yes,excluded,passed,passed,answer,excluded,,false,,true,false
mit60001-q-018,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-019,evaluated,Yes,evidence_sufficient,failed,passed,abstain,fn,false,true,abstain_literal_to_null,false,false
mit60001-q-020,evaluated,Yes,evidence_sufficient,failed,passed,answer,tp,true,true,duplicate_supporting_ids,false,true
mit60001-q-021,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-022,evaluated,Yes,evidence_insufficient,failed,passed,answer,fp,false,true,duplicate_supporting_ids,false,true
mit60001-q-023,excluded,Yes,excluded,passed,passed,abstain,excluded,,false,,true,false
mit60001-q-025,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-026,evaluated,Yes,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-027,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-029,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-030,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-031,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-032,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-033,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-034,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-035,evaluated,Yes,evidence_sufficient,passed,passed,answer,tp,true,false,,true,false
mit60001-q-037,evaluated,Yes,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-038,evaluated,Yes,evidence_insufficient,failed,passed,abstain,tn,true,true,abstain_literal_to_null,false,false
mit60001-q-039,evaluated,Yes,evidence_sufficient,passed,passed,abstain,fn,false,false,,true,false
mit60001-q-040,evaluated,Yes,evidence_insufficient,passed,passed,answer,fp,false,false,,true,false
mit60001-q-041,excluded,Yes,excluded,passed,passed,abstain,excluded,,false,,true,false
mit60001-q-042,evaluated,No,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-043,evaluated,No,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
mit60001-q-044,evaluated,No,evidence_insufficient,passed,passed,abstain,tn,true,false,,true,false
