question_id,label_source,evaluation_status,retrieval_sufficiency,expected_decision,predicted_decision,decision_correct,final_classification,exclusion_reason
mit60001-q-001,human_adjudication,evaluated,insufficient,reject,reject,True,C_correct_abstention,
mit60001-q-002,strict_calibration,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-003,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-004,strict_calibration,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-005,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-006,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-007,strict_calibration,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-008,human_adjudication,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-009,strict_calibration,evaluated,sufficient,accept,reject,False,B_reviewer_false_reject,
mit60001-q-010,strict_calibration,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-012,strict_calibration,evaluated,out_of_scope,reject,reject,True,out_of_scope_correct_reject,
mit60001-q-013,strict_calibration,evaluated,out_of_scope,reject,reject,True,out_of_scope_correct_reject,
mit60001-q-014,strict_calibration,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-015,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-016,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-017,human_adjudication,excluded,needs_discussion,,accept,,needs_discussion,needs_discussion
mit60001-q-018,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-019,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-020,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-021,strict_calibration,evaluated,sufficient,accept,reject,False,B_reviewer_false_reject,
mit60001-q-022,human_adjudication,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-023,human_adjudication,excluded,possible_gt_under_credit,,reject,,benchmark_gt_issue,benchmark_gt_issue
mit60001-q-025,strict_calibration,evaluated,sufficient,accept,reject,False,B_reviewer_false_reject,
mit60001-q-026,human_adjudication,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-027,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-029,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-030,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-031,human_adjudication,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-032,human_adjudication,evaluated,sufficient,accept,reject,False,B_reviewer_false_reject,
mit60001-q-033,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-034,human_adjudication,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-035,human_adjudication,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-037,human_adjudication,evaluated,insufficient,reject,reject,True,C_correct_abstention,
mit60001-q-038,strict_calibration,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-039,strict_calibration,evaluated,sufficient,accept,accept,True,A_success,
mit60001-q-040,strict_calibration,evaluated,insufficient,reject,accept,False,D_potential_false_accept,
mit60001-q-041,human_adjudication,excluded,possible_gt_under_credit,,reject,,benchmark_gt_issue,benchmark_gt_issue
mit60001-q-042,strict_calibration,evaluated,out_of_scope,reject,reject,True,out_of_scope_correct_reject,
mit60001-q-043,strict_calibration,evaluated,out_of_scope,reject,reject,True,out_of_scope_correct_reject,
mit60001-q-044,strict_calibration,evaluated,out_of_scope,reject,reject,True,out_of_scope_correct_reject,
