question_id,evaluation_status,answerable,expected_evidence_decision,runtime_status,generator_decision,decision_judgment,decision_correct,decision_outcome,normalization_applied,normalization_reason,raw_contract_compliant,answer_correctness,answer_completeness,groundedness,citation_support_overall,selected_citation_count,supporting_citation_count,non_supporting_citation_count,strict_answer_success,end_to_end_success,failure_reason,human_judgment_source
mit60001-q-001,evaluated,Yes,evidence_insufficient,passed,abstain,Correct,true,true_abstain,false,,true,N/A,N/A,N/A,N/A,0,0,0,,true,,m3_exact_response_reuse
mit60001-q-002,evaluated,Yes,evidence_insufficient,passed,abstain,Correct,true,true_abstain,true,abstain_literal_to_null,false,N/A,N/A,N/A,N/A,0,0,0,,true,,not_applicable_recovered_abstain
mit60001-q-003,evaluated,Yes,evidence_sufficient,passed,answer,Correct,true,true_answer,false,,true,Correct,Complete,Grounded,All support,2,2,0,true,true,,reliability_v1_human_review
mit60001-q-004,evaluated,Yes,evidence_insufficient,passed,abstain,Correct,true,true_abstain,true,abstain_literal_to_null,false,N/A,N/A,N/A,N/A,0,0,0,,true,,not_applicable_recovered_abstain
mit60001-q-005,evaluated,Yes,evidence_sufficient,passed,abstain,Incorrect,false,false_abstain,false,,true,N/A,N/A,N/A,N/A,0,0,0,,false,false_abstain,m3_exact_response_reuse
mit60001-q-006,evaluated,Yes,evidence_sufficient,passed,answer,Correct,true,true_answer,false,,true,Correct,Partial,Grounded,All support,1,1,0,false,false,answer_quality_or_citation_not_strict,m3_exact_response_reuse
mit60001-q-007,evaluated,Yes,evidence_insufficient,passed,abstain,Correct,true,true_abstain,false,,true,N/A,N/A,N/A,N/A,0,0,0,,true,,m3_exact_response_reuse
mit60001-q-008,evaluated,Yes,evidence_sufficient,passed,abstain,Incorrect,false,false_abstain,false,,true,N/A,N/A,N/A,N/A,0,0,0,,false,false_abstain,m3_exact_response_reuse
mit60001-q-009,evaluated,Yes,evidence_sufficient,passed,abstain,Incorrect,false,false_abstain,false,,true,N/A,N/A,N/A,N/A,0,0,0,,false,false_abstain,m3_exact_response_reuse
mit60001-q-010,evaluated,Yes,evidence_insufficient,passed,abstain,Correct,true,true_abstain,false,,true,N/A,N/A,N/A,N/A,0,0,0,,true,,m3_exact_response_reuse
