intent_id,question_en,question_vi,literal_en,review_status,reviewer,reviewed_at,review_notes
mit60001-q-001,"According to the course introduction, what learning goals are introduced for students?","Theo phần giới thiệu khóa học, những mục tiêu học tập nào được nêu ra cho sinh viên?",What learning objectives are stated for students in the introduction to the course?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Ba phiên bản giữ cùng intent về các mục tiêu học tập được nêu trong phần giới thiệu khóa học.
mit60001-q-002,What does the course say students should do to practice programming effectively?,"Theo khóa học, sinh viên nên làm gì để luyện lập trình một cách hiệu quả?",What should students do to effectively practice programming according to the course?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Ba phiên bản cùng hỏi sinh viên nên làm gì để luyện lập trình hiệu quả theo khóa học.
mit60001-q-003,How does Python use variable names in different scopes?,Python sử dụng các tên biến trong những phạm vi khác nhau như thế nào?,How does Python use variable names in different scopes?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,question_vi và literal_en giữ nguyên intent về cách Python sử dụng tên biến giữa các scope.
mit60001-q-004,What is the difference between assignment (=) and equality (==) in Python?,"Trong Python, câu lệnh gán (=) khác phép so sánh bằng (==) như thế nào?",How does the assignment operator (=) differ from the comparison operator (==) in Python?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent phân biệt assignment (=) với equality/comparison (==) trong Python.
mit60001-q-005,"According to the course, why does a recursive function require a base case?","Theo khóa học, vì sao một hàm đệ quy cần có trường hợp cơ sở?",Why does a recursive function need a base case?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi vì sao recursive function cần base case; lược cụm 'According to the course' không làm đổi semantic intent.
mit60001-q-006,"According to the lecture, how is the efficiency of an algorithm explained?","Theo bài giảng, độ hiệu quả (efficiency) của một thuật toán được giải thích như thế nào?",How is the efficiency of a algorithm explained in the lecture?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi bài giảng giải thích efficiency của algorithm như thế nào; lỗi ngữ pháp nhỏ không ảnh hưởng nghĩa.
mit60001-q-008,Why can rebinding a variable name leave the previous object unchanged?,Vì sao việc gán lại một tên biến sang giá trị mới có thể khiến đối tượng trước đó vẫn không thay đổi?,Why does assigning a new value to a variable that was previously assigned a different value not necessarily change the original value?,Minor wording difference,Võ Trí Đạt,2026-08-24T00:01:00+07:00,"Intent vẫn là rebinding không làm thay đổi object trước đó, nhưng literal_en dùng 'original value' thay cho 'previous object', kém chính xác hơn về object/reference semantics nhưng chưa làm đổi Ground Truth."
mit60001-q-010,What is the difference between mutable and immutable objects?,Đối tượng mutable và immutable khác nhau như thế nào?,What are the differences between mutable and immutable objects?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi sự khác nhau giữa mutable và immutable objects.
mit60001-q-014,What is the difference between a Python list and a dictionary?,List và dictionary trong Python khác nhau như thế nào?,What are the differences between lists and dictionaries in Python?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi sự khác nhau giữa Python list và dictionary.
mit60001-q-016,"According to the course, what does an assertion check in a program?","Theo khóa học, một câu lệnh assertion kiểm tra điều gì trong chương trình?",What does an assertion check in a program?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi assertion kiểm tra điều gì; lược attribution 'According to the course' không đổi nội dung cốt lõi.
mit60001-q-020,"How does the lecture use len, indexing, and slicing to inspect or extract parts of a string?","Bài giảng sử dụng len, indexing và slicing như thế nào để xem xét hoặc trích xuất các phần của một chuỗi?","How does the lecture use len, indexing, and slicing to examine or extract parts of a string?",Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,"Cùng intent về cách len, indexing và slicing được dùng để inspect/extract các phần của string."
mit60001-q-021,How does the course explain the role of Boolean comparisons in branching?,"Theo khóa học, các phép so sánh Boolean đóng vai trò gì trong việc rẽ nhánh?",What role do Boolean comparisons play in branching in the course?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi vai trò của Boolean comparisons trong branching.
mit60001-q-022,Why is a dictionary more suitable than a list for key-value lookup?,Vì sao dictionary phù hợp hơn list cho việc tra cứu key-value?,Why is a dictionary more suitable than a list for key-value lookup?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi vì sao dictionary phù hợp hơn list cho key-value lookup.
mit60001-q-023,How does the course explain abstraction when functions are used in a program?,"Theo khóa học, abstraction được giải thích như thế nào khi các hàm được sử dụng trong chương trình?",How is abstraction explained in the context of functions used in a program?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi cách abstraction được giải thích khi sử dụng functions trong program.
mit60001-q-025,How does the course explain the role of inheritance in object-oriented programming?,Khóa học giải thích vai trò của tính kế thừa trong lập trình hướng đối tượng như thế nào?,What is the explanation of the role of inheritance in object-oriented programming provided by the course?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi vai trò của inheritance trong object-oriented programming.
mit60001-q-029,How does a function return a value to its caller?,Một hàm trả giá trị về cho đoạn mã đã gọi hàm đó như thế nào?,How does a function return a value for the code that called it?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi cách function trả value về caller/calling code.
mit60001-q-033,How does the course connect decomposition and abstraction when building programs with functions?,Khóa học liên hệ việc phân rã và trừu tượng hóa với nhau như thế nào khi xây dựng chương trình bằng các hàm?,How do the concepts of decomposition and abstraction relate to each other when building a program using functions?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi mối liên hệ giữa decomposition và abstraction khi xây dựng program bằng functions.
mit60001-q-034,How does the course connect testing and debugging when finding program errors?,"Theo khóa học, testing và debugging liên hệ với nhau như thế nào khi tìm lỗi chương trình?",How do testing and debugging relate to each other when finding program errors?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent hỏi testing và debugging liên hệ với nhau thế nào khi tìm program errors.
mit60001-q-037,How do linear search and binary search differ in the number of elements they need to examine?,Tìm kiếm tuyến tính và tìm kiếm nhị phân khác nhau như thế nào về số phần tử cần kiểm tra?,How do linear and binary search differ in terms of the number of elements to be checked?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Cùng intent so sánh linear search và binary search theo số phần tử cần examine/check.
mit60001-q-039,How does the course distinguish black-box testing from glass-box testing?,Khóa học phân biệt kiểm thử hộp đen và kiểm thử hộp trắng như thế nào?,How do black box testing and white box testing differ?,Equivalent,Võ Trí Đạt,2026-08-24T00:01:00+07:00,Glass-box testing và white-box testing là hai cách gọi tương đương trong ngữ cảnh này; semantic intent không thay đổi.

