video_id,title,publish_date,duration_seconds,transcript_length,course_code,course_name,course_confidence,course_evidence,domain,domain_evidence,short_transcript_status,characters_per_second
--lPz7VFnKI,"Lec 39 | MIT 18.01 Single Variable Calculus, Fall 2007",2009-09-09,2354,25814,18.01,Single Variable Calculus,high,title:MIT 18.01,mathematics_statistics,department:18,not_short,10.966
--Zi_cn4kPE,Laser fundamentals I: Spectrum of laser light | MIT Video Demonstrations in Lasers and Optics,2012-06-15,847,9109,unresolved,unresolved,unresolved,no_course_code_pattern,physics,keyword_score:2,not_short,10.754
-0_vZ4t-q0I,"Linear ODE's with Periodic Input | MIT 18.03SC Differential Equations, Fall 2011",2012-01-04,674,6805,18.03SC,Differential Equations,high,title:MIT 18.03SC,mathematics_statistics,department:18,not_short,10.096
-05tcR4izaw,Seminar 3: Jessica Sommerville - Infants' Sensitivity to Cost and Benefit,2018-04-03,2351,43521,RES.9-003,"Brains, Minds and Machines Summer Course",high,description:MIT RES.9-003,biology_medicine_neuroscience,keyword_score:1,not_short,18.512
-0pzpXHq_io,L13.8 A Simple Example,2018-04-24,389,4850,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,12.468
-1BnXEwHUok,4. Stochastic Thinking,2017-05-19,2990,32550,6.0002,Introduction to Computational Thinking and Data Science,high,description:MIT 6.0002,computer_science_ai_data,department:6,not_short,10.886
-2d9XooPwHo,"18. Hearing loss; demo by Sheila Xu, cochlear implant user",2014-10-28,4942,61068,9.04,Sensory Systems,high,description:MIT 9.04,biology_medicine_neuroscience,department:9,not_short,12.357
-3ixsZ7fBUI,Student Interview: Miriam Prosnitz,2015-12-10,195,3258,CMS.611J,Creating Video Games,high,description:MIT CMS.611J,education_communication_media,department:CMS,likely_valid_short_video,16.708
-3tiysis4BM,Lec 6 | Special Topics in Supply Chain Management,2008-04-28,3023,50447,unresolved,unresolved,unresolved,no_course_code_pattern,economics_business_management,keyword_score:1,not_short,16.688
-4C9-OgKLCY,What Cameras Can Do for You… and How They Do It!,2020-08-10,1559,25148,RES.2-006,Girls Who Build Cameras,high,description:MIT RES.2-006,unresolved,no_domain_evidence,not_short,16.131
-56G36H8BvY,Instructor Interview: Teaching Heritage Learners in a Streamlined Language Course,2016-02-10,335,4316,21G.107,Chinese I (Streamlined),high,description:MIT 21G.107,unresolved,domain_tie:education_communication_media|humanities_social_science,likely_valid_short_video,12.884
-5XT0Mzl72E,Lec 7 | MIT 14.01SC Principles of Microeconomics,2012-01-24,3026,46498,14.01SC,Principles of Microeconomics,high,title:MIT 14.01SC,economics_business_management,department:14,not_short,15.366
-630YTQEuCI,S01.0 Mathematical Background Overview,2018-04-24,85,1280,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:2,likely_valid_short_video,15.059
-63JXElqPaY,9. Verification and Validation,2017-08-10,5869,84580,16.842,Fundamentals of Systems Engineering,high,description:MIT 16.842,engineering,department:16,not_short,14.411
-6A59LiKUss,Lecture 16: Bayesian Games,2026-05-18,4875,68136,14.12,Economic Applications of Game Theory,high,description:MIT 14.12,economics_business_management,department:14,not_short,13.977
-7dYXCHtTFY,1. This Course and The U.S. Energy System,2013-03-29,2917,40218,15.031J,"Energy Decisions, Markets, and Policies",high,description:MIT 15.031J,economics_business_management,department:15,not_short,13.787
-8kB7xIdKSM,Lecture 18: Case Study in Reacting Gas Mixtures - Introducing the Nernst Equation,2023-10-23,2902,27521,3.020,Thermodynamics of Materials,high,description:MIT 3.020,engineering,department:3,not_short,9.483
-8mPXAsX3DY,The simplest quantum system,2017-07-05,835,7644,8.04,Quantum Physics I,high,description:MIT 8.04,physics,department:8,not_short,9.154
-agCn_nWztQ,"Lec 2 | MIT 18.085 Computational Science and Engineering I, Fall 2008",2009-02-25,3147,32666,18.085,Computational Science and Engineering I,high,title:MIT 18.085,mathematics_statistics,department:18,not_short,10.38
-AHhHlk8AbI,Biofuels Sub-task Presentation II,2012-07-24,2613,34250,22.033,Nuclear Systems Design Project,high,description:MIT 22.033,engineering,department:22,not_short,13.108
-b0dFcebPcs,17.2 Worked Example - Center of Mass of 3 Objects,2017-06-02,434,3641,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,8.389
-B96m5X2xCM,Lec 7 | MIT 3.320 Atomistic Computer Modeling of Materials,2008-04-29,4746,62398,3.320,Atomistic Computer Modeling of Materials,high,title:MIT 3.320,engineering,department:3,not_short,13.147
-bbZA_s0hR0,3. Chaplin,2012-10-06,3280,50530,21L.011,The Film Experience,high,description:MIT 21L.011,unresolved,no_domain_evidence,not_short,15.405
-bWtembpQjU,11.2.4 Compiler Frontend,2019-07-12,273,4045,6.004,Computation Structures,high,description:MIT 6.004,computer_science_ai_data,department:6,likely_valid_short_video,14.817
-BYC6cNSO78,"Lec 19 | MIT Finite Element Procedures for Solids and Structures, Nonlinear Analysis",2011-06-13,3022,37525,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,not_short,12.417
-c-X8zk0ywo,1. The importance of chemical principles,2009-07-01,1650,26269,5.111,Principles of Chemical Science,high,description:MIT 5.111,engineering,keyword_score:1,not_short,15.921
-CASb3VeZRg,8. Macro Approaches to Consumption Smoothing and Risk Sharing,2014-03-06,4724,51279,14.772,Development Economics: Macroeconomics,high,description:MIT 14.772,economics_business_management,department:14,not_short,10.855
-cK1og4ElKE,"Lec 4 | MIT 9.00SC Introduction to Psychology, Spring 2011",2012-05-01,4261,71461,9.00SC,Introduction to Psychology,high,title:MIT 9.00SC,biology_medicine_neuroscience,department:9,not_short,16.771
-CsEPYeSBsg,"Closest Point to the Origin | MIT 18.01SC Single Variable Calculus, Fall 2010",2011-01-08,400,5981,18.01SC,Single Variable Calculus,high,title:MIT 18.01SC,mathematics_statistics,department:18,not_short,14.953
-Cve_SI6LQs,25. Neoliberalism and the End of History - Part 7: Human Rights and Voting Rights,2018-05-16,712,9143,24.912,Introduction to Black Studies,high,description:MIT 24.912,humanities_social_science,department:24,not_short,12.841
-cZPoqnRZq4,"21. Post Trade Clearing, Settlement & Processing",2020-01-23,4631,65471,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,not_short,14.138
-D4GDdxJrpg,Laplace Equation,2016-05-06,797,7818,RES.18-009,Learn Differential Equations: Up Close with Gilbert Strang and Cleve Moler,high,description:MIT RES.18-009,mathematics_statistics,keyword_score:1,not_short,9.809
-dAgY_AMqGk,"8: Case Studies: Chernobyl, Three Mile Island",2022-06-06,4656,49969,ESD.932,Engineering Ethics,high,description:MIT ESD.932,unresolved,domain_tie:engineering|humanities_social_science,not_short,10.732
-dOX_4lI6HY,Lecture 13:  Interpreting Weather Data,2020-04-27,3123,44991,16.687,Private Pilot Ground School,high,description:MIT 16.687,engineering,department:16,not_short,14.406
-DP1i2ZU9gk,8. Object Oriented Programming,2017-02-15,2504,33151,6.0001,Introduction to Computer Science and Programming in Python,high,description:MIT 6.0001,computer_science_ai_data,department:6,not_short,13.239
-DwGrJ8JxDc,Recitation 9b: DNA Sequence Matching,2013-01-14,3448,43885,6.006,Introduction to Algorithms,high,description:MIT 6.006,computer_science_ai_data,department:6,not_short,12.728
-eA2D_rIcNA,LU Decomposition,2018-07-25,575,5571,18.06SC,Linear Algebra,high,description:MIT 18.06SC,mathematics_statistics,department:18,not_short,9.689
-eC0-5mXHQg,Lec 13. Representation Learning: Theory,2026-02-11,4521,56261,6.7960,Deep Learning,high,description:MIT 6.7960,computer_science_ai_data,department:6,not_short,12.444
-EgKluVR2Ug,"Lec 19 | MIT 2.830J Control of Manufacturing Processes, S08",2009-10-01,4892,61391,2.830J,"Control of Manufacturing Processes, S08",high,title:MIT 2.830J,engineering,department:2,not_short,12.549
-EQTVuAhSFY,"Lec 3 | MIT 6.046J / 18.410J Introduction to Algorithms (SMA 5503), Fall 2005",2009-01-07,4113,45877,6.046J,/ 18.410J Introduction to Algorithms (SMA 5503),high,title:MIT 6.046J,computer_science_ai_data,department:6,not_short,11.154
-fCLJ1pGht4,"Lecture 11 | MIT 6.832 Underactuated Robotics, Spring 2009",2010-07-15,4551,51523,6.832,Underactuated Robotics,high,title:MIT 6.832,computer_science_ai_data,department:6,not_short,11.321
-fD51fZvZH8,10. The Universe and Three Examples | MIT 8.224 Exploring Black Holes,2008-05-21,4376,71971,8.224,Exploring Black Holes,high,title:MIT 8.224,physics,department:8,not_short,16.447
-Fd6JJ1Xkt4,17. Guest Lectures by Professional Designers,2023-02-14,3926,62220,CMS.608,Game Design,high,description:MIT CMS.608,education_communication_media,department:CMS,not_short,15.848
-FElVPKykgw,Recitation 10: Quiz 1 Review,2013-01-14,3289,36276,6.006,Introduction to Algorithms,high,description:MIT 6.006,computer_science_ai_data,department:6,not_short,11.029
-FHm2pQmiSM,1. Signals and Systems,2013-03-15,2920,35022,6.003,Signals and Systems,high,description:MIT 6.003,computer_science_ai_data,department:6,not_short,11.994
-fhWuEt5yKc,Gravity,2014-08-14,794,11242,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,not_short,14.159
-G_d3A0x_0Y,9.1.1 Welcome to Unit 9: An Introduction to Integer Optimization,2018-12-13,41,521,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,12.707
-gFz4HL_uhA,8. Cognition: How Do You Think? (audio only),2023-09-18,4788,58086,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,not_short,12.132
-gRXU-O1FY4,"Lec 15b | MIT 6.002 Circuits and Electronics, Spring 2007",2008-01-16,3012,39451,6.002,Circuits and Electronics,high,title:MIT 6.002,computer_science_ai_data,department:6,not_short,13.098
-GXIkn_ecKY,Experimental Physics I: Final Presentation: Optical Trapping. Measuring the Boltzmann Constant.,2018-11-01,1087,15107,8.13,"14 Experimental Physics I & II ""Junior Lab""",high,description:MIT 8.13,physics,department:8,not_short,13.898
-hgRkC_uUzU,L6.3 Weak Interactions: Pion Decay,2021-06-24,471,6208,8.701,Introduction to Nuclear and Particle Physics,high,description:MIT 8.701,physics,department:8,not_short,13.18
-HJE0OYHTH4,"MIT 3.60 | Lec 6a: Symmetry, Structure, Tensor Properties of Materials",2008-04-30,3023,32248,3.60,,high,title:MIT 3.60,engineering,department:3,not_short,10.668
-HPdmgS88Og,Lec20: Sociobiology,2023-10-19,3081,31591,9.20,Animal Behavior,high,description:MIT 9.20,biology_medicine_neuroscience,department:9,not_short,10.253
-htdFMTbPvg,From Open Access to Educational Equity: An HBCU+MERLOT+MIT OCW Collaboration,2022-12-21,129,1631,unresolved,unresolved,unresolved,no_course_code_pattern,education_communication_media,keyword_score:1,likely_valid_short_video,12.643
-I-WA_kSkfA,13. Review: The visual and oculomotor systems,2014-10-28,4717,60827,9.04,Sensory Systems,high,description:MIT 9.04,biology_medicine_neuroscience,department:9,not_short,12.895
-I6-wJuPXk4,10: Mid-Level Vision,2026-03-30,1646,24595,9.35,,high,description:MIT 9.35,biology_medicine_neuroscience,department:9,not_short,14.942
-IWKPe6X6Vs,Genetics and Statistics,2014-08-14,1113,10807,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,domain_tie:biology_medicine_neuroscience|mathematics_statistics,not_short,9.71
-J_xL4IGhJA,Lecture 1A: Overview and Introduction to Lisp,2019-08-22,4376,51197,6.001,Structure and Interpretation of Computer Programs,high,description:MIT 6.001,computer_science_ai_data,department:6,not_short,11.699
-j7MoM3P_J8,4.8.1 Random Walks: Video,2016-09-12,634,9379,6.042J,Mathematics for Computer Science,high,description:MIT 6.042J,computer_science_ai_data,department:6,not_short,14.793
-jjUoTiaSHw,String Manipulations,2017-02-15,185,2071,6.0001,Introduction to Computer Science and Programming in Python,high,description:MIT 6.0001,computer_science_ai_data,department:6,likely_valid_short_video,11.195
-jJz5OMmuP0,7. Multielectron Atoms,2017-08-03,2156,24942,5.111,Principles of Chemical Science,high,description:MIT 5.111,engineering,keyword_score:1,not_short,11.569
-JtATRj2EG4,Assessing Learning through Student Talks,2018-11-01,156,2604,8.13,"14 Experimental Physics I & II ""Junior Lab""",high,description:MIT 8.13,physics,department:8,likely_valid_short_video,16.692
-k8WU-KB0rk,L04.2 The Counting Principle,2018-04-24,672,7924,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,not_short,11.792
