question_id,candidate_rank,video_id,title,source_segment_start_index,source_segment_end_index,start_second,end_second,start_transcript_text,end_transcript_text,transcript_excerpt,cosine_score,candidate_status,review_instruction
mit60001-q-001,1,nykOeWgQcHM,1. What is Computation?,99,110,250.841,281.65,"And the last thing,
and I think this","I feel like the things we're
going learn in this class","And the last thing,
and I think this
is what makes this
class really great,
is we teach you how
to solve problems.
And we do that
through the psets.
That's really how I feel
the roadmap of this course
looks like.
And underlying all of
these is just practice.
You have to just type some
stuff away and code a lot.
And you'll succeed in
this course, I think.
OK.
So what are the things we're
going to learn in this class?
I feel like the things we're
going learn in this class",0.443482,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-001,2,nykOeWgQcHM,1. What is Computation?,48,60,129.21,162.967,It's true.,"was talking about something
that suddenly I remembered,","It's true.
This is a really
fast-paced course,
and we ramp up really quickly.
We do want to position you
to succeed in this course.
As I was writing
this, I was trying
to think about when
I was first starting
to program what helped
me get through my very
first programming course.
And this is really a good list.
The first thing was I just
read the psets as soon
as they came out, made sure that
the terminology just sunk in.
And then, during
lectures, if the lecturer
was talking about something
that suddenly I remembered,",0.433597,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-001,3,6LOwPhPDwVc,12. Searching and Sorting,1183,1194,2870.01,2899.67,"And especially we want you to
start thinking recursively.","will end when I'm done--""","And especially we want you to
start thinking recursively.
We want you to think about
how do I take a hard problem,
break it up into simpler
versions of the same problem,
and then construct the solution.
And that shows up
lots of places.
Right?
Recursion is in all sorts
of wonderful places.
So just to give you an example,
I could say to you recursively,
""This lecture will
end when I'm done
talking about this
lecture, which
will end when I'm done talking
about this lecture, which
will end when I'm done--""",0.404508,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-001,4,nykOeWgQcHM,1. What is Computation?,111,123,281.65,313.69,"can be divided into basically
three different sections.","There's some control
flow to programs.","can be divided into basically
three different sections.
The first one is related to
these first two items here.
It's really about
learning how to program.
Learning how to
program, part of it
is figuring out what
objects to create.
You'll learn about these later.
How do you represent knowledge
with data structures?
That's sort of the
broad term for that.
And then, as you're
writing programs,
you need to-- programs
aren't just linear.
Sometimes programs jump around.
They make decisions.
There's some control
flow to programs.",0.383035,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-001,5,nykOeWgQcHM,1. What is Computation?,87,98,219.743,250.841,but don't be afraid.,is programming skills.,"but don't be afraid.
Great.
So this is pretty much a
roadmap of all of 6.0001 or 600
as I've just explained it.
There's three big things we
want to get out of this course.
The first thing is the
knowledge of concepts,
which is pretty much true of
any class that you'll take.
The class will teach you
something through lectures.
Exams will test
how much you know.
This is a class in programming.
The other thing we want
you to get out of it
is programming skills.",0.376311,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-002,1,nykOeWgQcHM,1. What is Computation?,48,60,129.21,162.967,It's true.,"was talking about something
that suddenly I remembered,","It's true.
This is a really
fast-paced course,
and we ramp up really quickly.
We do want to position you
to succeed in this course.
As I was writing
this, I was trying
to think about when
I was first starting
to program what helped
me get through my very
first programming course.
And this is really a good list.
The first thing was I just
read the psets as soon
as they came out, made sure that
the terminology just sunk in.
And then, during
lectures, if the lecturer
was talking about something
that suddenly I remembered,",0.603772,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-002,2,nykOeWgQcHM,1. What is Computation?,87,98,219.743,250.841,but don't be afraid.,is programming skills.,"but don't be afraid.
Great.
So this is pretty much a
roadmap of all of 6.0001 or 600
as I've just explained it.
There's three big things we
want to get out of this course.
The first thing is the
knowledge of concepts,
which is pretty much true of
any class that you'll take.
The class will teach you
something through lectures.
Exams will test
how much you know.
This is a class in programming.
The other thing we want
you to get out of it
is programming skills.",0.570673,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-002,3,nykOeWgQcHM,1. What is Computation?,124,134,313.69,348.82,"That's what the second
line is going to be about.","that's well organized,
modular, easy to understand.","That's what the second
line is going to be about.
The second big
part of this course
is a little bit more
abstract, and it
deals with how do you write
good code, good style,
code that's readable.
When you write code, you
want to write it such
that-- you're in big company,
other people will read it,
other people will
use it, so it has
to be readable and
understandable by others.
To that end, you
need to write code
that's well organized,
modular, easy to understand.",0.561493,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-002,4,nykOeWgQcHM,1. What is Computation?,61,73,162.967,189.34,"oh, I saw that word in the pset
and I didn't know what it was.","Download the code
before lecture.","oh, I saw that word in the pset
and I didn't know what it was.
Well, hey, now I
know what it is.
Right?
So just give it a read.
You don't need to start it.
If you're new to programming, I
think the key word is practice.
It's like math or reading.
The more you practice,
the better you get at it.
You're not going to
absorb programming
by watching me write programs
because I already know how
to program.
You guys need to practice.
Download the code
before lecture.",0.539328,candidate_requires_human_source_review,Read source before accepting any video/time range.
mit60001-q-002,5,MjbuarJ7SE0,"4. Decomposition, Abstraction, and Functions",70,79,212.985,245.55,"So this is where functions
will come into play in today's","if you need it for
a future class,","So this is where functions
will come into play in today's
lecture-- will help you out.
So if you want to be
considered a good programmer,
a good programming style would
be to not necessarily add
lots and lots of lines
of code, but really
to add more functionality
to your programs.
So how many different things--
how many different features--
can your program do, rather
than how long can your code be.
And that'll help you
later on look at your code
if you need it for
a future class,",0.507631,candidate_requires_human_source_review,Read source before accepting any video/time range.
