video_id,title,publish_date,duration_seconds,transcript_length,course_code,course_name,course_confidence,course_evidence,domain,domain_evidence,short_transcript_status,characters_per_second
-0pzpXHq_io,L13.8 A Simple Example,2018-04-24,389,4850,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,12.468
-3ixsZ7fBUI,Student Interview: Miriam Prosnitz,2015-12-10,195,3258,CMS.611J,Creating Video Games,high,description:MIT CMS.611J,education_communication_media,department:CMS,likely_valid_short_video,16.708
-56G36H8BvY,Instructor Interview: Teaching Heritage Learners in a Streamlined Language Course,2016-02-10,335,4316,21G.107,Chinese I (Streamlined),high,description:MIT 21G.107,unresolved,domain_tie:education_communication_media|humanities_social_science,likely_valid_short_video,12.884
-630YTQEuCI,S01.0 Mathematical Background Overview,2018-04-24,85,1280,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:2,likely_valid_short_video,15.059
-b0dFcebPcs,17.2 Worked Example - Center of Mass of 3 Objects,2017-06-02,434,3641,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,8.389
-bWtembpQjU,11.2.4 Compiler Frontend,2019-07-12,273,4045,6.004,Computation Structures,high,description:MIT 6.004,computer_science_ai_data,department:6,likely_valid_short_video,14.817
-G_d3A0x_0Y,9.1.1 Welcome to Unit 9: An Introduction to Integer Optimization,2018-12-13,41,521,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,12.707
-htdFMTbPvg,From Open Access to Educational Equity: An HBCU+MERLOT+MIT OCW Collaboration,2022-12-21,129,1631,unresolved,unresolved,unresolved,no_course_code_pattern,education_communication_media,keyword_score:1,likely_valid_short_video,12.643
-jjUoTiaSHw,String Manipulations,2017-02-15,185,2071,6.0001,Introduction to Computer Science and Programming in Python,high,description:MIT 6.0001,computer_science_ai_data,department:6,likely_valid_short_video,11.195
-JtATRj2EG4,Assessing Learning through Student Talks,2018-11-01,156,2604,8.13,"14 Experimental Physics I & II ""Junior Lab""",high,description:MIT 8.13,physics,department:8,likely_valid_short_video,16.692
-kD4LUyVmQ0,Chapter 9.4.1 (demo only): Measurement of B-H Characteristic,2012-06-25,181,2569,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,14.193
-Km2237G0P8,Assessing Student Work Completed as Teams,2017-08-10,158,2180,16.842,Fundamentals of Systems Engineering,high,description:MIT 16.842,engineering,department:16,likely_valid_short_video,13.797
-M8swpL-Ij8,DD.2.1 Position in the CM Frame,2017-06-02,273,2973,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,10.89
-mW-DYFyGqg,1.2.1 The Analytics Edge - Video 1: Introduction to The Analytics Edge,2018-12-13,290,3844,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,13.255
-pMowqywuIY,L1.3 Calculating the energy corrections,2019-02-14,387,2901,8.06,Quantum Physics III,high,description:MIT 8.06,physics,department:8,likely_valid_short_video,7.496
-qwVo9RrMl4,Wire Drawing (Intro to Solid-State Chemistry),2020-12-07,200,2531,3.091,Introduction to Solid-State Chemistry,high,description:MIT 3.091,engineering,department:3,likely_valid_short_video,12.655
-SUNntP3dWo,An Interdisciplinary Approach,2018-05-16,103,1531,24.912,Introduction to Black Studies,high,description:MIT 24.912,humanities_social_science,department:24,likely_valid_short_video,14.864
-T34yGp4T7A,L13.5 Forecast Revisions,2018-04-24,278,3350,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,12.05
-W8jzpw_TgE,Japanese Community Events,2018-01-18,101,1010,21G.503,Japanese III,high,description:MIT 21G.503,humanities_social_science,keyword_score:1,likely_valid_short_video,10.0
-WIAoAG4SyA,L0.1 Introduction to Nuclear and Particle Physics: Course Overview,2021-06-25,358,4922,8.701,Introduction to Nuclear and Particle Physics,high,description:MIT 8.701,physics,department:8,likely_valid_short_video,13.749
