question_id,audit_flag,credited_evidence_status,question,expected_answer_points,relevant_time_ranges,model_decision,model_reason,model_supporting_chunk_ids,candidate_1,candidate_2,candidate_3,human_top3_sufficiency,human_reviewer_decision_correct,human_supporting_evidence_correct,human_final_classification,human_notes,human_review_status
mit60001-q-001,,partial_coverage_in_top3,"According to the course introduction, what learning goals are introduced for students?","- Gain conceptual knowledge and programming skills.
- Learn to solve problems through problem sets and sustained programming practice.
- Read problem sets early so course terminology becomes familiar.
- Develop recursive problem solving by reducing a hard problem to simpler versions of the same problem.","[{""end_second"":162.967,""start_second"":129.21,""video_id"":""nykOeWgQcHM""},{""end_second"":250.841,""start_second"":219.743,""video_id"":""nykOeWgQcHM""},{""end_second"":281.65,""start_second"":250.841,""video_id"":""nykOeWgQcHM""},{""end_second"":2899.67,""start_second"":2870.01,""video_id"":""6LOwPhPDwVc""}]",reject,The provided excerpts do not directly address the learning goals introduced for students.,,"rank=1
chunk_id=nykOeWgQcHM:semantic_cosine_wp240_v1:6
citation=https://www.youtube.com/watch?v=nykOeWgQcHM&t=261s
GT time overlap (audit signal only)=True

looks like.
And underlying all of
these is just practice.
You have to just type some
stuff away and code a lot.
And you'll succeed in
this course, I think.
OK.
So what are the things we're
going to learn in this class?
I feel like the things we're
going learn in this class
can be divided into basically
three different sections.
The first one is related to
these first two items here.
It's really about
learning how to program.
Learning how to
program, part of it
is figuring out what
objects to create.
You'll learn about these later.
How do you represent knowledge
with data structures?
That's sort of the
broad term for that.
And then, as you're
writing programs,","rank=2
chunk_id=nykOeWgQcHM:semantic_cosine_wp240_v1:3
citation=https://www.youtube.com/watch?v=nykOeWgQcHM&t=127s
GT time overlap (audit signal only)=True

for future reference.
It's true.
This is a really
fast-paced course,
and we ramp up really quickly.
We do want to position you
to succeed in this course.
As I was writing
this, I was trying
to think about when
I was first starting
to program what helped
me get through my very
first programming course.
And this is really a good list.
The first thing was I just
read the psets as soon
as they came out, made sure that
the terminology just sunk in.
And then, during
lectures, if the lecturer
was talking about something
that suddenly I remembered,
oh, I saw that word in the pset
and I didn't know what it was.
Well, hey, now I
know what it is.","rank=3
chunk_id=nykOeWgQcHM:semantic_cosine_wp240_v1:7
citation=https://www.youtube.com/watch?v=nykOeWgQcHM&t=306s
GT time overlap (audit signal only)=False

you need to-- programs
aren't just linear.
Sometimes programs jump around.
They make decisions.
There's some control
flow to programs.
That's what the second
line is going to be about.
The second big
part of this course
is a little bit more
abstract, and it
deals with how do you write
good code, good style,
code that's readable.
When you write code, you
want to write it such
that-- you're in big company,
other people will read it,
other people will
use it, so it has
to be readable and
understandable by others.
To that end, you
need to write code
that's well organized,
modular, easy to understand.
And not only that, not
only will your code",,,,,,pending
mit60001-q-008,,partial_coverage_in_top3,Why can rebinding a variable name leave the previous object unchanged?,"- A variable name is a handle or binding used to access an object.
- Rebinding the name to a new value removes the old binding but does not change the previous object; the old object can remain in memory without that handle.","[{""end_second"":2506.77,""start_second"":2468.31,""video_id"":""nykOeWgQcHM""},{""end_second"":696.34,""start_second"":661.98,""video_id"":""SE4P7IVCunE""}]",accept,"The candidate excerpt directly supports the answer that rebinding a variable name leaves the previous object unchanged. The excerpt states,",nykOeWgQcHM:semantic_cosine_wp240_v1:55,"rank=1
chunk_id=MjbuarJ7SE0:semantic_cosine_wp240_v1:41
citation=https://www.youtube.com/watch?v=MjbuarJ7SE0&t=1837s
GT time overlap (audit signal only)=False

what happens with variable
names and formal parameters
and actual parameters.
That's why I highly recommend
pieces of paper and pens.
One last thing I want
to mention about scope
before we do another example.
So there are three
sort of situations
you might find yourself in.
The first one is probably
the most typical,
and this is when you
define a function.
And it's using a
variable named x
in this case that's also
defined outside of the function.
And that doesn't matter
because of the idea of scopes.
So inside the global scope,
you can have variables x.
When you're inside
a different scope,
you can have whatever
variable names you want.
And when you're
inside that scope,","rank=2
chunk_id=nykOeWgQcHM:semantic_cosine_wp240_v1:55
citation=https://www.youtube.com/watch?v=nykOeWgQcHM&t=2461s
GT time overlap (audit signal only)=True

to assign that value
to that variable area.
Now, let's say we rebind
radius to be something else.
Radius i is bound
to the value 2.2.
But when we do this line, radius
is equal to radius plus 1,
we're going to take
away the binding to 2.2.
We're going to do
this calculation.
The new value is 3.2.
And we're going to rebind that
value to that same variable.
In memory, notice
we're still going
to have this value,
2.2, floating around.
But we've lost
the handle for it.
There's no way to get it back.","rank=3
chunk_id=FlGjISF3l78:semantic_cosine_wp240_v1:57
citation=https://www.youtube.com/watch?v=FlGjISF3l78&t=2368s
GT time overlap (audit signal only)=False

Initially, what happens is, when
I first create this new rabbit,
it's going to access the
class variable, which,
it's current value is 1.
So when I create the
rabbit ID-- the rabbit ID,
r1.rid-- this is going
to get the value 1.
And according to
the code, after I
set the rabbit ID
to whatever tag is,
I'm going to increment the tag.
So this is going to say,
OK, now that I've said it,
I'm going to go back up here
and increment the tag to be 2.
OK.
So let's say I create
another Rabbit object, OK?
All right, there--
that's a sad rabbit, r2.
The ID of r2 is
going to be what?
Well, according to the way
we create a new Rabbit object",,,,,,pending
mit60001-q-017,,partial_coverage_in_top3,What does the course say is the purpose of exception handling?,"- Exception handling catches an error that would otherwise raise an exception and interrupt normal execution.
- It lets the programmer respond in a controlled way, such as printing a clearer message for bad user input.
- A programmer can also raise an exception deliberately to signal an error condition and direct later control flow.","[{""end_second"":1510.09,""start_second"":1461.39,""video_id"":""9H6muyZjms0""},{""end_second"":1842.452,""start_second"":1799.8,""video_id"":""9H6muyZjms0""}]",accept,The candidate excerpt directly supports the answer that exception handling is used for testing and debugging.,9H6muyZjms0:semantic_cosine_wp240_v1:31,"rank=1
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:31
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1286s
GT time overlap (audit signal only)=False

to testing and debugging.
The rest of the class will
be on the error messages,
or on errors that you
will get in your programs.
So when your functions--
when you run functions,
or when you run your
program, at some point,
the program execution
is going to stop.
Maybe it encountered
an error because
of some unexpected condition.
And when that happens
you get an exception.
So the error is
called an exception.
And it's called an exception
because it was an exception
to what was expected.
To what the program expected.
So all of these errors
that I've talked
about in the previous
slides are actually
examples of exceptions.
And there are actually
many other types
of exceptions, which you'll
see as you go on in this course","rank=2
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:37
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1605s
GT time overlap (audit signal only)=False

try to make the program
come up with any other error
besides those two.
So a lot of the time you're just
going to use try except blocks.
But there's other blocks that
you can add to exceptions.
And these are more
rarely used, but I'll
talk about them anyway.
So you could have an else block.
And an else block is
going to get executed
when the code in the
try block finished
without raising an error.
And you can also
have a finally block,
which is always executed.
If the code in the try block
finished without an error,
if you raised an
exception, if you raised
a different kind of exception,
if you went through the else,
in any of these cases,
whatever's in the finally block
is always going to get executed.
And it's usually used
to clean up code.
Like if you want to print,
oh, the program finished,","rank=3
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:41
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1799s
GT time overlap (audit signal only)=True

So this is how you create
control flow in your programs
with exceptions.
So in Python, signaling
an error condition
means raising your
own exception.
So so far we've just seen
the programs crashing,
which means they
raise an exception
and then you deal with them.
But in this last case, you're
raising your own exception.
As a way to use that exception
later on in the code.
So in Python, you raise
your own exception
using this raise keyword
and then an exception.
And then some sort
of description,
like ""user entered a negative
number"" or something like that.
A lot of the time we're
going to raise a value error.
So if the number is less than
0, then raise a value error,
something is wrong.
The key word, the name
of the error, and then
some sort of descriptive string.
So let's see an example of
how we raise an exception.",,,,,,pending
mit60001-q-022,,partial_coverage_in_top3,Why is a dictionary more suitable than a list for key-value lookup?,"- A list is an ordered sequence accessed by integer indices, while a dictionary maps keys to values and is accessed by key.
- Dictionary keys must be immutable.
- List indexing goes directly to a position; dictionary lookup uses a hash-based indexing scheme and trades additional flexibility for lookup cost.","[{""end_second"":2451.17,""start_second"":2418.67,""video_id"":""WPSeyjX1-4s""},{""end_second"":2952.358,""start_second"":2926.03,""video_id"":""7lQXYl_L28w""},{""end_second"":2926.03,""start_second"":2901.4,""video_id"":""7lQXYl_L28w""}]",accept,"The candidate excerpt directly supports the answer that a dictionary is more suitable than a list for key-value lookup because it explains that dictionaries allow for indexing by a key or label, making it easier to retrieve values associated with a particular key.","WPSeyjX1-4s:semantic_cosine_wp240_v1:64
WPSeyjX1-4s:semantic_cosine_wp240_v1:59
7lQXYl_L28w:semantic_cosine_wp240_v1:84","rank=1
chunk_id=WPSeyjX1-4s:semantic_cosine_wp240_v1:64
citation=https://www.youtube.com/watch?v=WPSeyjX1-4s&t=2317s
GT time overlap (audit signal only)=False

back a collection of all the
keys in some arbitrary order.
I'm going to use
a funny term here
which I'm not certain
we've seen so far.
It returns something we call
an iterable, it's like range.
Think of it as giving us back
the equivalent of a list,
it's not actually
a list, but it's
something we can walk down.
Which is exactly why I
can then say, is something
in a dictionary, because it
returns this set of keys,
and I can test to see
something's in there.
I can similarly get
all of the values
if I wanted to look at them,
giving us out two iterables.
Here are the key things to keep
in mind about dictionaries.","rank=2
chunk_id=WPSeyjX1-4s:semantic_cosine_wp240_v1:59
citation=https://www.youtube.com/watch?v=WPSeyjX1-4s&t=2147s
GT time overlap (audit signal only)=False

and has elements associated
with it, a dictionary is going
to combine a key, or if you
like, a name of some sort,
with an actual value.
And we're going to
index just by the name
or the label as we go into it.
So let me show
you some examples.
First of all, to create a
dictionary I use curly braces,
open closed curly brace,
so an empty dictionary
would be simply that call.
If I want to create
an actual dictionary,
before I insert
things into it, I","rank=3
chunk_id=7lQXYl_L28w:semantic_cosine_wp240_v1:84
citation=https://www.youtube.com/watch?v=7lQXYl_L28w&t=2890s
GT time overlap (audit signal only)=True

So you can see that these
operations are typically
linear in the size of a list.
These are constant.
For dictionaries,
remember, dictionaries
were this nice thing.
They weren't ordered.
It gave me a power in
terms of storing them.
But as a consequence, some
of the costs then go up.
For a list, indexing, going
to a particular point,
I just go to that
spot and retrieve it.
Indexing into a
dictionary, I have
to find that point in the
dictionary that has the key
and get the value back.",,,,,,pending
mit60001-q-023,possible_ground_truth_under_credit,no_credited_evidence_in_top3,How does the course explain abstraction when functions are used in a program?,"- Abstraction captures a computation inside a procedure and exposes a contract.
- The caller does not need to know the procedure's internal details as long as it delivers the promised result.
- Functions also support decomposition by organizing code into coherent structural units.","[{""end_second"":2691.15,""start_second"":2665.1,""video_id"":""6LOwPhPDwVc""},{""end_second"":548.63,""start_second"":517.97,""video_id"":""MjbuarJ7SE0""}]",reject,None of the candidate excerpts directly explain abstraction when functions are used in a program.,,"rank=1
chunk_id=RvRKT-jXvko:semantic_cosine_wp240_v1:0
citation=https://www.youtube.com/watch?v=RvRKT-jXvko&t=0s
GT time overlap (audit signal only)=False

The following content is
provided under a Creative
Commons license.
Your support will help
MIT OpenCourseWare
continue to offer high quality
educational resources for free.
To make a donation or
view additional materials
from hundreds of MIT courses,
visit MIT OpenCourseWare
at ocw.mit.edu.
PROFESSOR: Quick, quick recap
of what we did last time.
So last time we introduced
this idea of decomposition
and abstraction.
And we started putting
that into our programs.
And these were sort of
high level concepts,
and we achieved them using
these concrete things called
functions in our programs.
And functions
allowed us to create
code that was coherent, that
had some structure to it,
and was reusable.
OK.
And from now on in problem
sets and in lectures,","rank=2
chunk_id=MjbuarJ7SE0:semantic_cosine_wp240_v1:54
citation=https://www.youtube.com/watch?v=MjbuarJ7SE0&t=2418s
GT time overlap (audit signal only)=False

So that's sort of
showing nested functions.
All right just circling back
to decomposition-abstraction.
This is the last slide.
You can see if you look
at the code associated
with today's lecture, there
are some other examples
where you can see
just how powerful it
is to use functions.
And you can write really
clean and simple code
if you define your own functions
and then just use them later.
And the beauty of defining
your own functions
that you can use
multiple times later
is you only have to debug
the function once right?
I know debugging is not
your favorite thing,
but you only have to
debug this one thing once,
and then you can know that
it's right and it works well,
and you can just use
it multiple times.
All right thanks everyone.","rank=3
chunk_id=MjbuarJ7SE0:semantic_cosine_wp240_v1:6
citation=https://www.youtube.com/watch?v=MjbuarJ7SE0&t=247s
GT time overlap (audit signal only)=False

later on if they find it useful.
So today we're introducing
this idea of functions.
And functions are
mechanisms to achieve
decomposition and abstraction.
So these are two
key words here that
are going to pop up
in today's lecture
and also in future lectures.
So before I introduce
decomposition and abstraction
in the context of
functions, let's
first take a look at just
sort of a real-life example.
So let's take a projector.
I'm using one right now.
Quick show of hands.",,,,,,pending
mit60001-q-026,,partial_coverage_in_top3,What happens when a list element is accessed using an index?,"- Python can locate the address of the indexed list slot and follow the stored pointer to the object in memory.
- Because the address of the i-th slot is known, any list element can be accessed by index in constant time.","[{""end_second"":2641.72,""start_second"":2610.61,""video_id"":""o9nW0uBqvEo""},{""end_second"":362.32,""start_second"":323.26,""video_id"":""-DP1i2ZU9gk""}]",accept,"The candidate excerpt at rank 1 directly supports the answer that when a list element is accessed using an index, it returns the value at that specific index.",-DP1i2ZU9gk:semantic_cosine_wp240_v1:8,"rank=1
chunk_id=-DP1i2ZU9gk:semantic_cosine_wp240_v1:8
citation=https://www.youtube.com/watch?v=-DP1i2ZU9gk&t=329s
GT time overlap (audit signal only)=True

One is going to be the
value at specific index.
OK?
So at index 0, it has
the value 1, right,
because it's the first
element in the list.
And the second thing
that represents a list
is going to be this second
part, which is a pointer.
And internally this
pointer is going
to tell Python
where is the memory
location in the computer where
you can access the element
index 1.
So it's just essentially
going to be a chain,
going from one
index to the other.
And at the next memory location
you have the value at index 1,
and then you have
another pointer
that takes you to the
location in memory
where the index 2 is located.
And in index 2 you
have the value and then
the next pointer,
and so on and so on.
So this is how Python
internally represents a list.
OK?","rank=2
chunk_id=RvRKT-jXvko:semantic_cosine_wp240_v1:23
citation=https://www.youtube.com/watch?v=RvRKT-jXvko&t=965s
GT time overlap (audit signal only)=False

It's just going to look at the
outer-- the shell of elements.
Indexing and slicing
works the same way.
So l at position 0
gives you the value 2.
You can index into a list,
and then do something
with the value
that you get back.
So l at position 2 says--
that's this value there
and add one to it.
L at position 3, that's
going to be this list here.
Notice it evaluates
to another list.
You're not allowed
to index outside
of the length of the list.
So that's going to give you
an error, because we only
have four elements.
And you can also have
expressions for your index.","rank=3
chunk_id=7lQXYl_L28w:semantic_cosine_wp240_v1:16
citation=https://www.youtube.com/watch?v=7lQXYl_L28w&t=571s
GT time overlap (audit signal only)=False

I'm going to assume it's sorted.
And I'm going to pick an index
that divides the list in half,
just pick the
midpoint in the list.
And I'm going to
check that value.
I'm going to ask, is the element
in the list at that point
the thing I'm looking for?
If it is, great, I'm done.
If I'm not that lucky,
I'm then going to ask,
is it larger or smaller than
the thing I'm looking for?
And based on that,
I'm either going
to search the front half or
the back half of the list.
Ooh, that's nice, OK?",,,,,,pending
mit60001-q-031,,partial_coverage_in_top3,What happens when a list is mutated through one of several aliases?,"- All aliases point to the same mutable list object in memory.
- Mutating the list through one alias changes that shared object, so the changed value is visible through every alias.","[{""end_second"":2112.92,""start_second"":2071.15,""video_id"":""RvRKT-jXvko""},{""end_second"":1898.78,""start_second"":1864.16,""video_id"":""RvRKT-jXvko""}]",accept,"The candidate excerpt directly supports the answer that when a list is mutated through one of several aliases, all the aliases will refer to the same person object with the changed attributes.",RvRKT-jXvko:semantic_cosine_wp240_v1:47,"rank=1
chunk_id=RvRKT-jXvko:semantic_cosine_wp240_v1:47
citation=https://www.youtube.com/watch?v=RvRKT-jXvko&t=1995s
GT time overlap (audit signal only)=False

all of his nicknames
are going to refer
to this exact same person.
So all of his
nicknames or aliases
will refer to the
same person object
with these changed attributes.
Does that makes sense?
OK.
So that sort of idea
arises in lists.
So a list is like
a person object
whose value-- whose attributes
can change, for example.
And as they change, all
of the different aliases
for this object will point
to this changed object.
So let's see a few examples.
I apologize if this
is a little small,","rank=2
chunk_id=RvRKT-jXvko:semantic_cosine_wp240_v1:37
citation=https://www.youtube.com/watch?v=RvRKT-jXvko&t=1583s
GT time overlap (audit signal only)=False

and expect it to be
the mutated list.
The list got mutated.
The list that got
mutated is the list
that was passed into to here.
We're going look at one
example in a few slides that's
going to show this.
OK.
Another thing that we can do,
and this is often useful when
you're working with
data, is to convert lists
to strings and then
strings to lists.
Sometimes it might be useful
to work with strings as opposed
to a list and vice versa.
So this first line here,
list s takes in a string
and casts it to a list.
So much like when we cast
a float to an integer,
for example.
You're just casting a
string to a list here.
And when you do
that up this line--
so if this is your s
here-- when you do list s,","rank=3
chunk_id=RvRKT-jXvko:semantic_cosine_wp240_v1:49
citation=https://www.youtube.com/watch?v=RvRKT-jXvko&t=2061s
GT time overlap (audit signal only)=True

So I have warm is a variable.
And it's going to be
equal to this list.
So warm is going to
point to this list here.
Red, yellow, orange.
It contains three elements.
Hot is equal to warm.
It means I'm creating
an alias for this list.
And the alias is going to
be with this variable hot.
So notice warm and hot point
to the exact same object.
So on line 8 when I append
this string pink to my object,
since both of
these two variables
point to the exact
same object, if I'm
trying to access this object
through either variable,
they're both going to
print out the same thing.",,,,,,pending
mit60001-q-032,,partial_coverage_in_top3,What happens when an exception is raised and no matching handler is used?,"- Without a matching try/except handler, the failing code raises the exception instead of producing a controlled response.
- The lecture describes this unhandled case as the program crashing; with a matching handler, the exception can be caught and replaced by a clearer message.","[{""end_second"":1510.09,""start_second"":1436.86,""video_id"":""9H6muyZjms0""},{""end_second"":1831.63,""start_second"":1799.8,""video_id"":""9H6muyZjms0""}]",reject,The provided excerpt does not directly address what happens when an exception is raised and no matching handler is used.,,"rank=1
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:31
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1286s
GT time overlap (audit signal only)=False

to testing and debugging.
The rest of the class will
be on the error messages,
or on errors that you
will get in your programs.
So when your functions--
when you run functions,
or when you run your
program, at some point,
the program execution
is going to stop.
Maybe it encountered
an error because
of some unexpected condition.
And when that happens
you get an exception.
So the error is
called an exception.
And it's called an exception
because it was an exception
to what was expected.
To what the program expected.
So all of these errors
that I've talked
about in the previous
slides are actually
examples of exceptions.
And there are actually
many other types
of exceptions, which you'll
see as you go on in this course","rank=2
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:37
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1605s
GT time overlap (audit signal only)=False

try to make the program
come up with any other error
besides those two.
So a lot of the time you're just
going to use try except blocks.
But there's other blocks that
you can add to exceptions.
And these are more
rarely used, but I'll
talk about them anyway.
So you could have an else block.
And an else block is
going to get executed
when the code in the
try block finished
without raising an error.
And you can also
have a finally block,
which is always executed.
If the code in the try block
finished without an error,
if you raised an
exception, if you raised
a different kind of exception,
if you went through the else,
in any of these cases,
whatever's in the finally block
is always going to get executed.
And it's usually used
to clean up code.
Like if you want to print,
oh, the program finished,","rank=3
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:41
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1799s
GT time overlap (audit signal only)=True

So this is how you create
control flow in your programs
with exceptions.
So in Python, signaling
an error condition
means raising your
own exception.
So so far we've just seen
the programs crashing,
which means they
raise an exception
and then you deal with them.
But in this last case, you're
raising your own exception.
As a way to use that exception
later on in the code.
So in Python, you raise
your own exception
using this raise keyword
and then an exception.
And then some sort
of description,
like ""user entered a negative
number"" or something like that.
A lot of the time we're
going to raise a value error.
So if the number is less than
0, then raise a value error,
something is wrong.
The key word, the name
of the error, and then
some sort of descriptive string.
So let's see an example of
how we raise an exception.",,,,,,pending
mit60001-q-034,,partial_coverage_in_top3,How does the course connect testing and debugging when finding program errors?,"- Testing uses expected and actual results to identify what is wrong.
- Debugging then determines how or why the bad result occurred and pinpoints the responsible line, lines, or function.","[{""end_second"":1068.71,""start_second"":1030.27,""video_id"":""9H6muyZjms0""},{""end_second"":342.2,""start_second"":313.36,""video_id"":""9H6muyZjms0""}]",accept,"The candidate excerpt directly supports the answer by explaining how the course connects testing and debugging when finding program errors, stating that the debugging process is figuring out how the result took place and using the scientific method to study test cases and come up with hypotheses.",9H6muyZjms0:semantic_cosine_wp240_v1:25,"rank=1
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:31
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1286s
GT time overlap (audit signal only)=False

to testing and debugging.
The rest of the class will
be on the error messages,
or on errors that you
will get in your programs.
So when your functions--
when you run functions,
or when you run your
program, at some point,
the program execution
is going to stop.
Maybe it encountered
an error because
of some unexpected condition.
And when that happens
you get an exception.
So the error is
called an exception.
And it's called an exception
because it was an exception
to what was expected.
To what the program expected.
So all of these errors
that I've talked
about in the previous
slides are actually
examples of exceptions.
And there are actually
many other types
of exceptions, which you'll
see as you go on in this course","rank=2
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:25
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=1035s
GT time overlap (audit signal only)=True

that that's giving
you the bad results.
So the general debugging steps
is to study the program code.
Don't ask what is wrong,
because that's actually
part of the testing.
So your test cases would have
figured out what's wrong.
The debugging process
is figuring out
how the result took place.
And since programming is--
programming and debugging
is, sort of, is a science, you
can use the scientific method
as well.
So look at all the data,
that's your test cases.
Figure out a hypothesis.
Maybe say, oh, maybe I'm
indexing from 1 instead of 0
in lists, for example.
Come up with an experiment
that you can repeat.
And then pick a
simple test case then
you can test your
hypothesis with.
So as you're debugging, you
will encounter error messages.
And these error
messages are actually","rank=3
chunk_id=9H6muyZjms0:semantic_cosine_wp240_v1:20
citation=https://www.youtube.com/watch?v=9H6muyZjms0&t=863s
GT time overlap (audit signal only)=False

And I don't know if you can read
this, but this part right here.
They made a note
in their logbook
that says, first actual
case of bug being found.
Which I think is really cute.
So they were literally doing
debugging in this computer.
Right.
All right.
So you won't be doing
that sort of debugging.
You'll be doing a virtual kind
of debugging in your programs.
Which, again, is not that fun.
But you still have to do it.
So debugging, as you might have
noticed so far in your problem
sets, has a bit of a
steep learning curve.
And obviously your goal is
to have a bug free program,",,,,,,pending
mit60001-q-035,,partial_coverage_in_top3,How does the course connect list aliasing with mutation side effects?,"- Aliasing means two names can point to the same list object.
- Because the list is mutable, a change made through one alias changes the shared object and appears through the other alias.
- This shared visible change is a mutation side effect.","[{""end_second"":2112.92,""start_second"":2071.15,""video_id"":""RvRKT-jXvko""},{""end_second"":105.507,""start_second"":76.29,""video_id"":""WPSeyjX1-4s""}]",accept,"The candidate excerpt at rank 2 directly supports the answer by explaining how lists are mutable and can lead to aliasing, where two names point to the same list structure, and changing the contents of one list affects the appearance of the other.",WPSeyjX1-4s:semantic_cosine_wp240_v1:1,"rank=1
chunk_id=RvRKT-jXvko:semantic_cosine_wp240_v1:47
citation=https://www.youtube.com/watch?v=RvRKT-jXvko&t=1995s
GT time overlap (audit signal only)=False

all of his nicknames
are going to refer
to this exact same person.
So all of his
nicknames or aliases
will refer to the
same person object
with these changed attributes.
Does that makes sense?
OK.
So that sort of idea
arises in lists.
So a list is like
a person object
whose value-- whose attributes
can change, for example.
And as they change, all
of the different aliases
for this object will point
to this changed object.
So let's see a few examples.
I apologize if this
is a little small,","rank=2
chunk_id=WPSeyjX1-4s:semantic_cosine_wp240_v1:1
citation=https://www.youtube.com/watch?v=WPSeyjX1-4s&t=53s
GT time overlap (audit signal only)=True

OK last time Ana introduced
the first of the compound data
types, tuples and lists.
She showed lots of ways
of manipulating them,
lots of built in things for
manipulating those structures.
And the key difference
between the two of them
was that tuples were immutable,
meaning you could not
change them, lists
were mutable, they
could be changed, or mutated.
And that led to both some nice
power and some opportunities
for challenges.
And, in particular, she showed
you things like aliasing,
where you could have two names
pointing to the same list
structure, and
because of that, you
could change the
contents of one,
it would change the appearance
of the contents of the other,
and that leads to
some nice challenges.
So the side effects
of mutability
are one of the things you're
going to see, both as a plus
and minus, as we go
through the course.","rank=3
chunk_id=RvRKT-jXvko:semantic_cosine_wp240_v1:37
citation=https://www.youtube.com/watch?v=RvRKT-jXvko&t=1583s
GT time overlap (audit signal only)=False

and expect it to be
the mutated list.
The list got mutated.
The list that got
mutated is the list
that was passed into to here.
We're going look at one
example in a few slides that's
going to show this.
OK.
Another thing that we can do,
and this is often useful when
you're working with
data, is to convert lists
to strings and then
strings to lists.
Sometimes it might be useful
to work with strings as opposed
to a list and vice versa.
So this first line here,
list s takes in a string
and casts it to a list.
So much like when we cast
a float to an integer,
for example.
You're just casting a
string to a list here.
And when you do
that up this line--
so if this is your s
here-- when you do list s,",,,,,,pending
