intent_id,question_vi,frozen_literal_en,machine_literal_en,exact_string_match,rank_delta_machine_minus_frozen,top_3_overlap,adjudication,reviewer_notes
mit60001-q-001,"Theo phần giới thiệu khóa học, những mục tiêu học tập nào được nêu ra cho sinh viên?",What learning objectives are stated for students in the introduction to the course?,Learning Objectives,False,2,1,,
mit60001-q-002,"Theo khóa học, sinh viên nên làm gì để luyện lập trình một cách hiệu quả?",What should students do to effectively practice programming according to the course?,"According to the course, how should students practice programming in an effective way?",False,0,3,,
mit60001-q-003,Python sử dụng các tên biến trong những phạm vi khác nhau như thế nào?,How does Python use variable names in different scopes?,Python uses variable names in different scopes how?,False,0,2,,
mit60001-q-004,"Trong Python, câu lệnh gán (=) khác phép so sánh bằng (==) như thế nào?",How does the assignment operator (=) differ from the comparison operator (==) in Python?,Assignment operator (gán) is different from comparison operator (so sánh) in Python.,False,33,2,,
mit60001-q-005,"Theo khóa học, vì sao một hàm đệ quy cần có trường hợp cơ sở?",Why does a recursive function need a base case?,Why is a recursive function in a course required to have a base case?,False,-2,3,,
mit60001-q-006,"Theo bài giảng, độ hiệu quả (efficiency) của một thuật toán được giải thích như thế nào?",How is the efficiency of a algorithm explained in the lecture?,"According to the lecture, the efficiency of an algorithm is explained as follows.",False,0,1,,
mit60001-q-008,Vì sao việc gán lại một tên biến sang giá trị mới có thể khiến đối tượng trước đó vẫn không thay đổi?,Why does assigning a new value to a variable that was previously assigned a different value not necessarily change the original value?,Why can assigning a new name to an object change its value?,False,20,0,,
mit60001-q-010,Đối tượng mutable và immutable khác nhau như thế nào?,What are the differences between mutable and immutable objects?,Mutable object,False,51,2,,
mit60001-q-014,List và dictionary trong Python khác nhau như thế nào?,What are the differences between lists and dictionaries in Python?,List,False,108,1,,
mit60001-q-016,"Theo khóa học, một câu lệnh assertion kiểm tra điều gì trong chương trình?",What does an assertion check in a program?,Assertion,False,0,2,,
mit60001-q-020,"Bài giảng sử dụng len, indexing và slicing như thế nào để xem xét hoặc trích xuất các phần của một chuỗi?","How does the lecture use len, indexing, and slicing to examine or extract parts of a string?","The lecture uses len, indexing, and slicing to examine or extract parts of a string.",False,0,3,,
mit60001-q-021,"Theo khóa học, các phép so sánh Boolean đóng vai trò gì trong việc rẽ nhánh?",What role do Boolean comparisons play in branching in the course?,Boolean comparison roles in branching,False,1,2,,
mit60001-q-022,Vì sao dictionary phù hợp hơn list cho việc tra cứu key-value?,Why is a dictionary more suitable than a list for key-value lookup?,"Dictionary is more suitable than list for key-value retrieval because it allows for efficient lookups by key, whereas lists do not.",False,0,2,,
mit60001-q-023,"Theo khóa học, abstraction được giải thích như thế nào khi các hàm được sử dụng trong chương trình?",How is abstraction explained in the context of functions used in a program?,Abstraction in functions when used in a program,False,-1,3,,
mit60001-q-025,Khóa học giải thích vai trò của tính kế thừa trong lập trình hướng đối tượng như thế nào?,What is the explanation of the role of inheritance in object-oriented programming provided by the course?,Explaining the role of inheritance in object-oriented programming.,False,4,2,,
mit60001-q-029,Một hàm trả giá trị về cho đoạn mã đã gọi hàm đó như thế nào?,How does a function return a value for the code that called it?,How does a function return a value for the code that called it?,True,0,3,Equivalent,auto: identical to frozen literal_en
mit60001-q-033,Khóa học liên hệ việc phân rã và trừu tượng hóa với nhau như thế nào khi xây dựng chương trình bằng các hàm?,How do the concepts of decomposition and abstraction relate to each other when building a program using functions?,Relationship between learning about nuclear fission and abstracting concepts when building a program using functions,False,26,0,,
mit60001-q-034,"Theo khóa học, testing và debugging liên hệ với nhau như thế nào khi tìm lỗi chương trình?",How do testing and debugging relate to each other when finding program errors?,"Testing and debugging are related in the sense that testing is the process of identifying potential errors or defects in a program, while debugging is the process of finding and fixing those errors. In other words, testing is the initial step in identifying potential problems, and debugging is the step that follows to actually fix those problems.",False,0,2,,
mit60001-q-037,Tìm kiếm tuyến tính và tìm kiếm nhị phân khác nhau như thế nào về số phần tử cần kiểm tra?,How do linear and binary search differ in terms of the number of elements to be checked?,Linear search,False,7,0,,
mit60001-q-039,Khóa học phân biệt kiểm thử hộp đen và kiểm thử hộp trắng như thế nào?,How do black box testing and white box testing differ?,Black box testing,False,0,3,,
