retrieval_run_id,retrieval_method,question_id,first_relevant_rank,reciprocal_rank,chunks_to_full_coverage,top_10_chunk_ids_json,top_10_scores_json,top_10_relevant_flags_json
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-001,1,1.0,10,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:12"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:0"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""9H6muyZjms0:semantic_cosine_wp240_v1:0"",""2__KumJsGXc:semantic_cosine_wp240_v1:0"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:77""]","[0.45026976,0.4196167,0.40323442,0.3892127,0.35478374,0.35360771,0.34288538,0.3417058,0.3403247,0.34014621]","[true,true,false,true,false,false,false,false,false,true]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-001,1,1.0,425,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:55"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:9"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""SE4P7IVCunE:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:47"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:2"",""FlGjISF3l78:semantic_cosine_wp240_v1:57""]","[14.3186732,10.32351855,9.49249568,9.4208777,8.42449678,7.70636563,7.65245978,7.62321311,7.56478371,7.458367]","[true,false,false,false,false,false,true,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-001,1,1.0,36,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:0"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:55"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:0""]","[0.03278689,0.03105441,0.02765152,0.02736499,0.02625418,0.02615132,0.02521881,0.02519562,0.02463411,0.0245682]","[true,true,false,false,false,true,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-002,4,0.25,4,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:7"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:8"",""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:2"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:0"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:5"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:24""]","[0.63967401,0.60229814,0.57399601,0.5258621,0.51018894,0.4597114,0.44794807,0.4353157,0.42804447,0.41043955]","[false,false,false,true,false,true,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-002,1,1.0,4,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:55"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:66"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:75"",""nykOeWgQcHM:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""nykOeWgQcHM:semantic_cosine_wp240_v1:30""]","[15.81548921,12.20198816,10.63571382,10.33781934,10.2001083,10.14186551,9.6248116,9.59708964,9.57511383,9.49582505]","[true,false,false,true,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-002,3,0.333333333,4,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:6"",""nykOeWgQcHM:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""0jljZRnHwOI:semantic_cosine_wp240_v1:24"",""nykOeWgQcHM:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:5"",""nykOeWgQcHM:semantic_cosine_wp240_v1:17"",""0jljZRnHwOI:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:7""]","[0.03200205,0.03200205,0.03154496,0.03125,0.02666667,0.02612066,0.02580753,0.02413984,0.0241153,0.02358769]","[false,false,true,true,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-003,1,1.0,1,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:51"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:50"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:25"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:36"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""FlGjISF3l78:semantic_cosine_wp240_v1:4"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43""]","[0.74052978,0.62330055,0.62177235,0.60432994,0.59179282,0.59100914,0.5889492,0.58161163,0.57704747,0.57416046]","[true,false,true,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-003,1,1.0,1,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:47"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""nykOeWgQcHM:semantic_cosine_wp240_v1:51"",""RvRKT-jXvko:semantic_cosine_wp240_v1:46"",""FlGjISF3l78:semantic_cosine_wp240_v1:52"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:75""]","[16.78377325,15.67284937,13.28010196,11.83101783,11.12369241,10.66058455,9.76793561,9.45834791,9.28519431,8.67923512]","[true,true,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-003,1,1.0,1,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:36"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:47"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:51"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:43"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17""]","[0.03278689,0.03200205,0.0290404,0.02843889,0.0255887,0.02542892,0.02538153,0.02530698,0.02515528,0.02480689]","[true,true,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-004,17,0.058823529,17,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""0jljZRnHwOI:semantic_cosine_wp240_v1:31"",""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:35"",""RvRKT-jXvko:semantic_cosine_wp240_v1:8"",""0jljZRnHwOI:semantic_cosine_wp240_v1:37"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3""]","[0.6762619,0.62427723,0.59967524,0.57684958,0.55748808,0.54102939,0.53855306,0.53070062,0.51976907,0.51858079]","[false,false,false,false,false,false,false,false,false,false]"
